school,district,state
the bridge academy,the bridge academy district,connecticut
the gilbert school,the gilbert school district,connecticut
black rock school,thomaston school district,connecticut
thomaston center school,thomaston school district,connecticut
thomaston high school,thomaston school district,connecticut
mary r. fisher elementary school,thompson school district,connecticut
thompson middle school,thompson school district,connecticut
tolland intermediate school,tolland school district,connecticut
tolland middle school,tolland school district,connecticut
forbes school,torrington school district,connecticut
southwest school,torrington school district,connecticut
torringford school,torrington school district,connecticut
torrington middle school,torrington school district,connecticut
vogel-wetmore school,torrington school district,connecticut
booth hill school,trumbull school district,connecticut
daniels farm school,trumbull school district,connecticut
frenchtown elementary school,trumbull school district,connecticut
hillcrest middle school,trumbull school district,connecticut
jane ryan school,trumbull school district,connecticut
madison middle school,trumbull school district,connecticut
middlebrook school,trumbull school district,connecticut
tashua school,trumbull school district,connecticut
center road school,vernon school district,connecticut
lake street school,vernon school district,connecticut
maple street school,vernon school district,connecticut
northeast school,vernon school district,connecticut
skinner road school,vernon school district,connecticut
vernon center middle school,vernon school district,connecticut
voluntown elementary school,voluntown school district,connecticut
dag hammarskjold middle school,wallingford school district,connecticut
james h. moran middle school,wallingford school district,connecticut
mary g. fritz elementary school of yalesville,wallingford school district,connecticut
parker farms school,wallingford school district,connecticut
pond hill school,wallingford school district,connecticut
rock hill school,wallingford school district,connecticut
b. w. tinker school,waterbury school district,connecticut
bucks hill bilingual,waterbury school district,connecticut
bucks hill school,waterbury school district,connecticut
bunker hill school,waterbury school district,connecticut
carrington school,waterbury school district,connecticut
chase bilingual,waterbury school district,connecticut
driggs school,waterbury school district,connecticut
duggan school,waterbury school district,connecticut
f. j. kingsbury school,waterbury school district,connecticut
gilmartin school,waterbury school district,connecticut
h. s. chase school,waterbury school district,connecticut
hopeville bilingual,waterbury school district,connecticut
hopeville school,waterbury school district,connecticut
maloney interdistrict magnet school,waterbury school district,connecticut
margaret m. generali elementary school,waterbury school district,connecticut
michael f. wallace middle school,waterbury school district,connecticut
north end bilingual,waterbury school district,connecticut
north end middle school,waterbury school district,connecticut
reed school,waterbury school district,connecticut
regan school,waterbury school district,connecticut
rotella interdistrict magnet school,waterbury school district,connecticut
sprague school,waterbury school district,connecticut
walsh school,waterbury school district,connecticut
washington school,waterbury school district,connecticut
waterbury arts magnet school,waterbury school district,connecticut
wendell l. cross school,waterbury school district,connecticut
west side bilingual,waterbury school district,connecticut
west side middle school,waterbury school district,connecticut
woodrow wilson school,waterbury school district,connecticut
clark lane middle school,waterford school district,connecticut
great neck elementary school,waterford school district,connecticut
oswegatchie elementary school,waterford school district,connecticut
quaker hill elementary school,waterford school district,connecticut
fletcher w. judson school,watertown school district,connecticut
polk school,watertown school district,connecticut
swift middle school,watertown school district,connecticut
aiken school,west hartford school district,connecticut
braeburn school,west hartford school district,connecticut
bristow middle school,west hartford school district,connecticut
bugbee school,west hartford school district,connecticut
charter oak international academy,west hartford school district,connecticut
duffy school,west hartford school district,connecticut
king philip middle school,west hartford school district,connecticut
morley school,west hartford school district,connecticut
norfeldt school,west hartford school district,connecticut
sedgwick middle school,west hartford school district,connecticut
smith school,west hartford school district,connecticut
webster hill school,west hartford school district,connecticut
whiting lane school,west hartford school district,connecticut
wolcott school,west hartford school district,connecticut
alma e. pagels school,west haven school district,connecticut
carrigan 5/6 intermediate school,west haven school district,connecticut
edith e. mackrille school,west haven school district,connecticut
forest school,west haven school district,connecticut
harry m. bailey middle school,west haven school district,connecticut
savin rock community school,west haven school district,connecticut
seth g. haley school,west haven school district,connecticut
washington school,west haven school district,connecticut
daisy ingraham school,westbrook school district,connecticut
westbrook middle school,westbrook school district,connecticut
weston intermediate school,weston school district,connecticut
weston middle school,weston school district,connecticut
bedford middle school,westport school district,connecticut
coleytown elementary school,westport school district,connecticut
coleytown middle school,westport school district,connecticut
green's farms school,westport school district,connecticut
king's highway elementary school,westport school district,connecticut
long lots school,westport school district,connecticut
saugatuck elementary school,westport school district,connecticut
alfred w. hanmer school,wethersfield school district,connecticut
charles wright school,wethersfield school district,connecticut
emerson-williams school,wethersfield school district,connecticut
highcrest school,wethersfield school district,connecticut
samuel b. webb elementary school,wethersfield school district,connecticut
silas deane middle school,wethersfield school district,connecticut
center school,willington school district,connecticut
hall memorial school,willington school district,connecticut
cider mill school,wilton school district,connecticut
middlebrook school,wilton school district,connecticut
pearson school,winchester school district,connecticut
charles h. barrows stem academy,windham school district,connecticut
natchaug school,windham school district,connecticut
north windham school,windham school district,connecticut
w. b. sweeney school,windham school district,connecticut
windham center school,windham school district,connecticut
windham middle school,windham school district,connecticut
south elementary school,windsor locks school district,connecticut
windsor locks middle school,windsor locks school district,connecticut
clover street school,windsor school district,connecticut
john f. kennedy school,windsor school district,connecticut
sage park middle school,windsor school district,connecticut
alcott school,wolcott school district,connecticut
frisbie school,wolcott school district,connecticut
tyrrell middle school,wolcott school district,connecticut
wakelee school,wolcott school district,connecticut
beecher road school,woodbridge school district,connecticut
woodstock elementary school,woodstock school district,connecticut
woodstock middle school,woodstock school district,connecticut
