,0
1238,ps 98 shorac kappock
1239,does puentes elementary school
1240,ps 115 alexander humboldt
1241,ps 128 audubon
1242,ps 132 juan pablo duarte
1243,jhs 143 eleanor roosevelt
1244,ps 152 dyckman valley
1245,ps 153 adam clayton powell
1246,ps 173
1247,professor juan bosch public school
1248,ps/is 187 hudson cliffs
1249,ps 189
1250,ps 192 jacob h schiff
1251,hamilton grange middle school
1252,ps/is 210 twenty-first century academy for community ldership
1253,is 218 salome urena 
1254,mott hall school (the)
1255,paula hedbavny school
1256,amistad dual language school
1257,muscota
1258,ms 319 marie teresa
1259,middle school 322
1260,ms 324 patria mirabal
1261,ps 325
1262,community math and science prep
1263,harbor heights
1264,washington heights academy
1265,hamilton heights school
1266,castle bridge school
1267,is 528 bea fuller rodgers school
1268,city college academy of the arts
1269,community health academy of the heights
1270,washington heights expeditionary learning school
1271,bronx county
1272,new york city geographic district # 7
1273,ps 1 courtlandt school
1274,ps 5 port morris
1275,ps 18 john peter zenger
1276,ps 25 bilingual school
1277,ps/ms 29 melrose school
1278,ps 30 wilton
1279,ps/ms 31 william lloyd garrison (the)
1280,ps 43 jonas bronck
1281,ps 49 willis avenue
1282,ps 65 mother hale academy
1283,jhs 151 lou gehrig
1284,ps 154 jonathan d hyatt
1285,ps 157 grove hill
1286,ps 161 ponce de leon school
1287,jhs 162 lola rodriguez de tio
1288,ps 179
1289,ms 223 laboratory school of finance and technology (the)
1290,ps/is 224
1291,ps 277 
1292,south bronx academy for applied media
1293,academy of public relations
1294,academy of applied mathematics and technology
1295,concourse village elementary school
1296,young leaders elementary school
1297,south bronx preparatory - a college board school
1298,hostos-lincoln academy of science
1299,urban assembly bronx academy of letters (the)
1300,south bronx charter school for international cultures and the arts
1301,"bronx global learning institute for girls, the shirley rodrguez-remeneski charter school"
1302,new york city montessori charter school
1303,new york city geographic district # 8
1304,ps 14 senator john calandra
1305,ps 36 unionport
1306,ps 48 joseph r drake
1307,ps 62 inocensio casanova
1308,ps 69 journey prep school
1309,ps 71 rose e scala
1310,ps 72 dr william dorney
1311,ps 75 school of research and discovery
1312,ps 93 albert g oliver
1313,ps 100 isaac clason
1314,ms 101 edward r byrne 
1315,ps 107
1316,emmett w bassett school
1317,jhs 123 james m kiernan
1318,jhs 125 henry hudson 
1319,ps 130 abram stevens hewitt
1320,jhs 131 albert einstein
1321,ps 138 samuel randall
1322,ps 140 eagle school (the)
1323,ps 146 edward collins
1324,ps 152 evergreen
1325,ps 182
1326,ms 301 paul l dunbar
1327,ms 302 luisa dessus cruz
1328,ps 304 early childhood school
1329,longwood academy for discovery (the)
1330,academy of the arts (the)
1331,school for inquiry and social justice (the)
1332,urban institute of mathematics
1333,bronx mathematics preparatory school (the)
1334,hunts point school (the)
1335,soundview academy for culture and scholarship
1336,mott hall community school
1337,blueprint middle school
1338,bronx studio school for writers and artists
1339,"archimedes academy for math, science and technology applications"
1340,antonia pantoja preparatory academy
1341,boys preparatory charter school of new york
1342,new york city geographic district # 9
1343,ps/ms 4 crotona park west
1344,ps 11 highbridge
1345,jhs 22 jordan l mott 
1346,ps 28 mount hope
1347,ps 35 franz siegel
1348,ps 42 claremont
1349,ps 53 basheer quisim
1350,ps 55 benjamin franklin
1351,ps 58
1352,ps 63 author's academy
1353,ps 70 max schoenfeld
1354,ps 73 bronx
1355,ps 88 s silverstein little sparrow school
1356,ps 109 sedgwick
1357,ps 110 theodore schoenfeld
1358,ps 114 luis lorens torres school
1359,is 117 joseph h wade 
1360,ps 126 dr marjorie h dunbar
1361,mott hall iii
1362,ps 132 garrett a morgan
1363,jhs 145 arturo toscanini 
1364,ps 163 arthur a schomberg
1365,ps 199 shakespeare school (the)
1366,ps 204 morris heights
1367,kappa
1368,ps/is 218 rafael hernandez dual language magnet school
1369,is 219 new venture school
1370,is 229 roland patterson
1371,is 232
1372,ps 236 langston hughes
1373,new american academy at roberto clemente state park
1374,walton avenue school (the)
1375,is 303 leadership & community service
1376,lucero elementary school
1377,is 313 school of leadership development
1378,bronx writing academy
1379,urban science academy 
1380,comprehensive model school project ms 327
1381,new millennium business academy middle school
1382,is 339
1383,highbridge green school (the)
1384,family school (the)
1385,grant avenue elementary school
1386,science and technology academy:  a mott hall school
1387,sheridan academy for young leaders
1388,mount eden children's academy
1389,young women's leadership school of the bronx
1390,eagle academy for young men
1391,urban assembly school for applied math and science
1392,bronx early college academy for teaching and learning
1393,new directions secondary school
1394,bronx high school for medical science
1395,"bronx school for law, government and justice"
1396,family life academy charter school i
1397,new york city geographic district #10
1398,ps 3 raul julia micro society
1399,milton fein school
1400,ps 8 issac varian
1401,ps 9 ryer avenue elementary school
1402,ps 15 institute for environmental learning
1403,ps/ms 20 po george j werdan iii
1404,ps 23 new children's school (the)
1405,ps 24 spuyten duyvil
1406,ps 32 belmont
1407,ps 33 timothy dwight
1408,ps 37 multiple intelligence school
1409,thomas c giordano middle school 45
1410,ps 46 edgar allen poe
1411,ps 51 bronx new school
1412,ps/is 54 
1413,ps 56 norwood heights
1414,ps 59 community school of technology (the)
1415,jhs 80 mosholu parkway (the)
1416,ps 81 robert j christen
1417,ps 85 great expectations
1418,ps 86 kingsbridge heights
1419,ps 91
1420,ps 94 kings college school
1421,ps 95 sheila mencher
1422,jhs 118 william w niles
1423,ps 159 luis mumoz marin biling
1424,ps 205 fiorello laguardia
1425,is 206 ann mersereau
1426,theatre arts production company school
1427,ps 226
1428,jonas bronck academy
1429,new school for leadership and journalism (the)
1430,ps 246 poe center
1431,is 254
1432,ps 279 capt manuel rivera jr
1433,ps/ms 280 mosholu parkway
1434,ps 291
1435,ps 306
1436,luisa pineiro fuentes school of science and discovery
1437,bronx dance academy school
1438,ps 310 marble hill
1439,ps 315 lab school
1440,the bronx school of young leaders
1441,ps 340
1442,ampark neighborhood
1443,ps 360
1444,academy for personal leadership and excellence
1445,in-tech academy (ms/hs 368)
1446,"elementary school for math, science and technology"
1447,school for environmental citizenship
1448,ms 390
1449,angelo patri middle school (the)
1450,ps 396
1451,creston academy
1452,riverdale/kingsbridge academy (ms/hs 141)
1453,west bronx academy for the future
1454,international school for liberal arts
1455,east fordham academy for the arts
1456,tech international charter school
1457,new york city geographic district #11
1458,ps 16 wakefield
1459,ps 19 judith k weiss
1460,ps 21 philip h sheridan
1461,ps 41 gun hill road
1462,ps 68
1463,ps 76 bennington school (the)
1464,ps 78 anne hutchinson
1465,ps 83 donald hertz
1466,ps 87
1467,ps 89
1468,ps 96 richard rodgers
1469,ps 97
1470,ps 103 hector fontanez
1471,ps 105 senator abraham bernstein
1472,ps 106 parkchester
1473,ps 108 philip j abinanti
1474,ps 111 seton falls
1475,ps 112 bronxwood
1476,ps 121 throop
1477,jhs 127 castle hill (the)
1478,jhs 144 michelangelo 
1479,ps 153 helen keller
1480,ps 160 walt disney
1481,baychester academy
1482,ps 175 city island
1483,ps 178 dr selman waksman
1484,ms 180 dr daniel hale williams 
1485,is 181 pablo casals
1486,cornerstone academy for social action
1487,ps/ms 194
1488,north bronx school of empowerment
1489,young scholars academy of the bronx (the)
1490,bronx green middle school
1491,bronx alliance middle school
1492,young voices academy of the bronx
1493,leaders of tomorrow
1494,cornerstone academy for social action middle school
1495,pelham academy of academics and community engagement
1496,ps/ms 498 van nest academy
1497,one world middle school at edenwald
1498,baychester middle school
1499,bronx park middle school
1500,pelham gardens middle school
1501,linden tree elementary school
1502,new york city geographic district #12
1503,ps 6 west farms
1504,ps 44 david c farragut
1505,ps 47 john randolph
1506,ps 57 crescent
1507,ps 61 francisco oller
1508,ps 66 school of higher expectations
1509,ps 67 mohegan school
1510,ps 92
1511,jhs 98 herman ridder
1512,ms 129 academy of independent learning and leadership
1513,ps 134 george f bristow
1514,ps 150 charles james fox
1515,esmt-is 190
1516,ps 195
1517,ps 196
1518,ps 211 
1519,ps 212
1520,ps 214
1521,school of performing arts
1522,mott hall v
1523,frederick douglass academy v middle school
1524,fannie lou hamer middle school
1525,school of science and applied learning
1526,fairmont neighborhood school
1527,knowledge and power preparatory academy iii
1528,"is 318 math, science & tech through arts school"
1529,accion academy
1530,urban assembly school for wildlife conservation
1531,emolior academy
1532,entrada academy
1533,urban scholars community school
1534,archer elementary school
1535,ps 536
1536,bronx latin school
1537,east bronx academy for the future
1538,bronx little school
1539,kings county
1540,new york city geographic district #13
1541,ps 3 bedford village (the)
1542,ps 8 robert fulton
1543,ps 9 teunis g bergen
1544,ps 11 purvis j behan
1545,ps 20 clinton hill
1546,ps 44 marcus garvey
1547,ps 46 edward c blum
1548,ps 54 samuel c barnes
1549,ps 56 lewis h latimer
1550,ps 67 charles a dorsey
1551,ps 93 william h prescott
1552,ms 113 ronald edmonds learning center
1553,ps 133 william a butler
1554,ps 256 benjamin banneker
1555,dr susan s mckinney secondary school of the arts
1556,ms 266 park place community middle school
1557,ps 270 johann dekalb
1558,ps 282 park slope
1559,ps 287 bailey k ashford
1560,satellite east middle school
1561,ps 305 dr peter ray
1562,ps 307 daniel hale williams
1563,dock street school for stem studies
1564,urban assembly unison school (the)
1565,fort green preparatory academy
1566,academy of arts and letters
1567,urban assembly institute of math and science for young women
1568,new york city geographic district #14
1569,ps 16 leonard dunkly
1570,ps 17 henry d woodworth
1571,ps 18 edward bush
1572,ps 23 carter g woodson
1573,ps 31 samuel f dupont
1574,ps 34 oliver h perry
1575,jhs 50 john d wells 
1576,ps 59 william floyd
1577,ps 84 jose de diego
1578,ps 110 monitor (the)
1579,ps 120 carlos tapia
1580,john ericsson middle school 126
1581,ps 132 conselyea school (the)
1582,ps 147 issac remsen
1583,ps/is 157 benjamin franklin heath and science (the)
1584,ps 196 ten eyck
1585,ps 250 george h lindsey
1586,ps 257 john f hylan
1587,ps 297 abraham stockton
1588,is 318 eugeno maria de hostos
1589,ps 380 john wayne elementary
1590,brooklyn arbor elementary school
1591,conselyea preparatory school
1592,ms 582
1593,juan morel campos secondary school
1594,lyons community school
1595,young women's leadership school of brooklyn
1596,citizens of the world charter school new york 1
1597,new york city geographic district #15
1598,ps 1 bergen (the)
1599,"magnet school of math, science & design tech"
1600,ps 15 patrick f daly
1601,ps 24
1602,ps 29 john m harrigan
1603,ps 32 samuels mills sprole
1604,ps 38 pacific (the)
1605,ps 39 henry bristow
1606,ms 51 william alexander
1607,ps 58 carroll (the)
1608,jhs 88 peter rouget
1609,ps 94 henry longfellow (the)
1610,ps 107 john w kimball
1611,maurice sendak community school (the)
1612,ps 124 silas b dutcher
1613,ps 130 parkside (the)
1614,ps 131
1615,is 136 charles o dewey
1616,brooklyn new school
1617,windsor terrace school (the)
1618,ps 169 sunset park
1619,ps 172 beacon school of excellence
1620,ps 230 doris l cohen
1621,ps 261 philip livingston
1622,ps 295
1623,ps 321 william penn
1624,ms 442 carroll gardens school for innovation
1625,new voices school of academic and creative arts
1626,math and science exploratory school (the)
1627,brooklyn secondary school for collaborative studies
1628,sunset park avenue elementary school
1629,red hook neighborhood school
1630,sunset park prep
1631,ms 839
1632,brooklyn school for global studies
1633,park slope collegiate
1634,boerum hill school for international studies (the)
1635,new york city geographic district #16
1636,ps 5 dr ronald mcnair
1637,ps 21 crispus attucks
1638,ps 25 eubie blake school
1639,ps 26 jesse owens
1640,ps 28 warren prep academy (the)
1641,ms 35 stephen decatur
1642,ps 40 george w carver
1643,jhs 57 whitelaw reid
1644,ps 81 thaddeus stevens
1645,ps 243  weeksville school (the)
1646,ps 262 el hajj malik el shabazz elementary school
1647,"ms 267 math, science & technology"
1648,ps 308 clara cardwell
1649,ps 309 george e wibecan preparatory academy
1650,ps 335 granville t woods
1651,ms 584
1652,brighter choice community school
1653,brooklyn brownstone school
1654,madiba prep middle school
1655,"ember charter school for mindful education, innovation and transformation"
1656,new york city geographic district #17
1657,parkside preparatory academy
1658,norma adams clemons academy
1659,dr jacqueline peek-davis school
1660,ms 61 dr gladstone h atwell
1661,ps 91 albany avenue school (the)
1662,ps 92 adrian hegeman
1663,ps 138
1664,ps 161 crown (the)
1665,ps 181
1666,ps 189 bilingual center (the)
1667,ps 191 paul robeson
1668,ps 221 toussaint l'ouverture
1669,ps 241 emma l johnston
1670,ms 246 walt whitman 
1671,ps 249 caton (the)
1672,ps 289 george v brower
1673,ps 316 elijah stroud
1674,is 340
1675,ebbets field middle school
1676,elijah stroud middle school
1677,school of integrated learning (the)
1678,ps 375 jackie robinson school
1679,ms 394
1680,ps 397 foster-laurie
1681,ps 398 walter weaver
1682,ps 399 stanley eugene clarke 
1683,ronald edmonds learning ctr ii
1684,new bridges elementary school
1685,brooklyn arts and science elementary school
1686,new heights middle school
1687,ps 770 new american academy
1688,acad for college prep & career exploration: a college board sch
1689,school for human rights (the)
1690,school for democracy and leadership
1691,"science, technology & research high school at erasmus"
1692,medgar evers college preparatory school
1693,citizens of the world charter school 2
1694,new york city geographic district #18
1695,ps 66
1696,is 68 isaac bildersee
1697,ps 114 ryder elementary
1698,ps 115 daniel mucatel school
1699,ps 135 sheldon a brookner
1700,ps 208 elsa ebeling
1701,is 211 john wilson 
1702,ps 219 kennedy-king
1703,ps 233 langston hughes
1704,ps 235 janice marie knight school
1705,ps 244 richard r green
1706,ps 268 emma lazarus
1707,ps 272 curtis estabrook
1708,ps 276 louis marshall
1709,ps 279 herman schreiber
1710,is 285 meyer levin
1711,science and medicine middle school (the)
1712,east flatbush community research school
1713,middle school for art and philosphy
1714,middle school of marketing and legal studies
1715,brooklyn science and engineering academy
1716,new hope academy charter school
1717,new york city geographic district #19
1718,ps 7 abraham lincoln
1719,ps 13 roberto clemente
1720,ps 65
1721,ps 89 cypress hills 
1722,ps 108 sal abbracciamento
1723,ps 149 danny kaye
1724,ps 158 warwick
1725,ps 159 isaac pitkin
1726,is 171 abraham lincoln 
1727,ps 190 sheffield
1728,ps 202 ernest s jenkyns
1729,ps 213 new lots
1730,ps 214 michael friedsam
1731,jhs 218 james p sinnott 
1732,ps 224 hale a woodruff
1733,ps 273 wortman
1734,ps 290 juan morel campos
1735,jhs 292 margaret s douglas 
1736,ps 306 ethan allen
1737,essence school
1738,fresh creek school (the)
1739,ps 328 phyllis wheatley
1740,ps 345 patrolman robert bolden 
1741,ps 346 abe stark
1742,is 364 gateway 
1743,frederick douglass academy viii middle school
1744,brooklyn gardens elementary school
1745,van siclen community middle school
1746,vista academy
1747,liberty avenue middle school
1748,school of the future brooklyn
1749,east new york elementary school of excellence
1750,east new york middle school of excellence
1751,highland park community school
1752,academy for young writers
1753,east new york family academy
1754,spring creek community school
1755,achievement first east new york charter school
1756,invictus preparatory charter school
1757,collegiate academy for mathematics and personal awareness charter school
1758,new york city geographic district #20
1759,ps/is 30 mary white ovington 
1760,ps 48 mapleton
1761,jhs 62 ditmas
1762,ps 69 vincent d grippo school
1763,ps 102 bayview (the)
1764,ps/is 104 fort hamilton school (the)
1765,ps 105 blythebourne (the)
1766,ps 112 lefferts park
1767,ps 127 mckinley park
1768,ps 160 william t sampson
1769,ps 163 bath beach
1770,ps 164 caesar rodney
1771,ralph a fabrizio school
1772,ps 176 ovington
1773,ps 179 kensington
1774,seeall academy (the)
1775,ps 185 walter kassenbrock
1776,ps 186 dr irving a gladstone
1777,is 187 christa mcauliffe school (the)
1778,ps 192 magnet school for math and science inquiry
1779,ps 200 benson school
1780,jhs 201 dyker heights (the)
1781,ps 204 vince lombardi
1782,ps 205 clarion
1783,jhs 220 john j pershing
1784,jhs 223 montauk (the)
1785,jhs 227 edward b shallow
1786,ps 229 dyker
1787,ps 247
1788,jhs 259 william mckinley
1789,ps 264 bay ridge elementary school for the arts
1790,school for future leaders (the)
1791,ps 503 school of discovery (the)
1792,ps 506 school of journalism and technology (the)
1793,academy of talented scholars (the)
1794,brooklyn school of inquiry
1795,ps 748 brooklyn school for global scholars
1796,"school of math, science and healthy living (the)"
1797,urban assembly school for criminal justice
1798,new york city geographic district #21
1799,ps 90 edna cohen school
1800,ps 95 gravesend (the)
1801,is 96 seth low 
1802,ps 97 highlawn (the)
1803,is 98 bay academy
1804,ps 99 isaac asimov
1805,ps 100 coney island school (the)
1806,ps 101 verrazano (the)
1807,ps 121 nelson a rockefeller
1808,ps 128 bensonhurst
1809,ps 153 homecrest
1810,ps 177 marlboro (the)
1811,ps 188 michael e berdy
1812,ps 199 frederick wachtel
1813,ps 209 margaret mead
1814,ps 212 lady deborah moody
1815,ps 215 morris h weiss
1816,ps 216 arturo toscanini
1817,ps 225 eileen e zaglin (the)
1818,ps 226 alfred de b mason
1819,is 228 david a boody
1820,ps 238 anne sullivan
1821,mark twain is 239 for the gifted and talented
1822,is 281 joseph b cavallaro 
1823,ps 288 shirley tanyhill (the)
1824,is 303 herbert s eisenberg 
1825,ps 329 surfside
1826,kingsborough early college school
1827,brooklyn studio secondary school
1828,new york city geographic district #22
1829,jhs 14 shell bank
1830,ps 52 sheepshead bay
1831,jhs 78 roy h mann 
1832,ps 109
1833,ps 119 amersfort
1834,ps 134
1835,ps 139 alexine a fenty
1836,school of science and technology
1837,ps 193 gil hodges
1838,ps 194 raoul wallenberg
1839,ps 195 manhattan beach
1840,ps 197 kings highway academy (the)
1841,ps 198
1842,ps 203 floyd bennett school
1843,ps 206 joseph f lamb
1844,ps 207 elizabeth g leary
1845,ps 217 colonel david marcus school
1846,ps 222 katherine r snyder
1847,jhs 234 arthur w cunningham 
1848,ps 236 mill basin
1849,andries hudde school
1850,ps 245
1851,ps 251 paerdegat
1852,ps 254 dag hammarskjold
1853,ps 255 barbara reing school
1854,ps 269 nostrand
1855,ps 277 gerritsen beach
1856,jhs 278 marine park 
1857,ps 312 bergen beach
1858,ps 315
1859,is 381
1860,new york city geographic district #23
1861,ps 41 francis white
1862,ps/is 137 rachael jean mitchell
1863,ps 150 christopher
1864,ps/is 155 nicholas herkimer
1865,ps 156 waverly
1866,ps 165 ida posner
1867,ps 178 saint clair mckelway
1868,ps 184 newport
1869,"gregory jocko jackson school of sports, art and technology (the)"
1870,ps 298 dr betty shabazz
1871,ps/is 323
1872,ps 327 dr rose b english
1873,brownsville collaborative middle school
1874,is 392
1875,christopher avenue community school
1876,riverdale avenue community school
1877,kappa v - knowledge and power prep academy
1878,mott hall iv
1879,brooklyn landmark elementary school
1880,brooklyn environmental exploration school (bees)
1881,riverdale avenue middle school
1882,mott hall bridges academy
1883,eagle academy for young men ii
1884,teachers preparatory high school
1885,leadership preparatory ocean hill charter school 
1886,new york city geographic district #32
1887,ps/is 45 horace e greene
1888,ps 75 mayda cortiella
1889,ps 86 irvington (the)
1890,ps 106 edward everett hale 
1891,ps 116 elizabeth l farrell
1892,ps 123 suydam
1893,ps 145 andrew jackson
1894,ps 151 lyndon b johnson
1895,jhs 162 willoughby (the)
1896,ps 274 kosciusko
1897,jhs 291 roland hayes 
1898,ps 299 thomas warren field school
1899,is 347 school of humanities
1900,"is 349 math, science and technology"
1901,ps 376
1902,ps 377 alejandrina b de gautier
1903,jhs 383 philippa schuyler
1904,ps/is 384 frances e carter
1905,evergreen middle school for urban exploration
1906,all city leadership secondary school
1907,queens county
1908,new york city geographic district #24
1909,is 5 walter crowley intermediate school (the)
1910,ps 7 louis f simeone
1911,ps 12 james b colgate
1912,ps 13 clement c moore
1913,ps 14 fairview
1914,ps 16 nancy debenedittis school (the)
1915,ps 19 marino jeantet
1916,ps 49 dorothy bonawit kole 
1917,ps 58 school of heroes
1918,is 61 leonardo da vinci 
1919,ps 68 cambridge
1920,ps 71 forest
1921,is 73 frank sansivieri intermediate school  (the)
1922,is 77
1923,ps 81 jean paul richter
1924,ps/is 87 middle village
1925,ps 88 seneca
1926,ps 89 elmhurst
1927,ps 91 richard arkwright
1928,is 93 ridgewood 
1929,ps 102 bayview
1930,ps 110
1931,ps/is 113 anthony j pranzo
1932,is 119 glendale (the)
1933,is 125 thomas j mccann woodside
1934,"ps 128 the lorraine tuzzo, juniper valley elementary"
1935,ps 143 louis armstrong
1936,ps 153 maspeth elementary
1937,ps 199 maurice a fitzgerald
1938,elm tree elementary school
1939,ps 229 emanuel kaplan
1940,ps 239
1941,ace academy for scholars at the geraldine ferraro campus
1942,learners and leaders
1943,pioneer academy
1944,corona arts and sciences academy
1945,ps 330
1946,51st avenue academy (the path to academic excellence)
1947,robert f wagner jr secondary school-arts and technology
1948,new york city geographic district #25
1949,ps 20 john bowne
1950,ps 21 edward hart
1951,ps 22 thomas jefferson
1952,ps 24 andrew jackson
1953,is 25 adrien block 
1954,ps 29
1955,ps 32 state street
1956,ps 79 francis lewis
1957,ps 107 thomas a dooley
1958,ps 120
1959,ps 129 patricia larkin
1960,ps 130
1961,ps 154
1962,ps 163 flushing heights
1963,ps 164 queens valley
1964,ps 165 edith k bergtraum
1965,ps 169 bay terrace
1966,ps 184 flushing manor
1967,jhs 185 edward bleeker
1968,jhs 189 daniel carter beard
1969,ps 193 alfred j kennedy
1970,jhs 194 william carr
1971,ps/ms 200 pomonok school and star academy (the)
1972,ps 201 discovery school for inquiry and research (the)
1973,ps 209 clearview gardens
1974,ps 214 cadwallader colden
1975,ps 219 paul klapper
1976,is 237 
1977,ps 242 leonard p stavisky early childhood school
1978,active learning elementary school (the)
1979,is 250 robert f kennedy community middle school (the)
1980,bell academy
1981,queens school of inquiry (the)
1982,east-west school of international studies
1983,world journalism preparatory:  a college board school
1984,"queens college school for math, science & technology (the)"
1985,new york city geographic district #26
1986,ps 18 winchester
1987,ps 26 rufus king
1988,ps 31 bayside
1989,ps 41 crocheron
1990,ps 46 alley pond
1991,jhs 67 louis pasteur
1992,jhs 74 nathaniel hawthorne 
1993,ps 94 david d porter
1994,ps 98 douglaston school (the)
1995,james j ambrose school (the)
1996,ps 133
1997,ms 158 marie curie 
1998,ps 159
1999,ps 162 john golden
2000,irwin altman middle school 172
2001,ps 173 fresh meadows
2002,ps/is 178 holliswood
2003,ps 186 castlewood
2004,ps 188 kingsbury
2005,ps 191 mayflower
2006,ps 203 oakland gardens
2007,ps 205 alexander graham bell
2008,ps 213 carl ullman school (the)
2009,jhs 216 george j ryan
2010,ps 221 north hills school (the)
2011,ps/is 266
2012,new york city geographic district #27
2013,ps/ms 42 r vernam
2014,ps 43
2015,ps 45 clarence witherspoon
2016,ps 47 chris galas
2017,ms 53 brian piccolo 
2018,ps 56 harry eichler
2019,ps 60 woodhaven
2020,ps 62 chester park school
2021,ps 63 old south
2022,ps 64 joseph p addabbo
2023,ps 65 raymond york elementary school (the)
2024,ps 66 jacqueline kennedy-onassis
2025,ps 90 horace mann
2026,ps 96
2027,ps 97 forest park
2028,ps 100 glen morris
2029,ps 104 bays water (the)
2030,ps 105 bay school (the)
2031,lighthouse elementary school
2032,ps 108 capt vincent g fowler
2033,ps/ms 114 belle harbor
2034,ps 123
2035,ps 124 osmond a church
2036,ms 137 america's school of heroes
2037,ps 146 howard beach
2038,ps 155
2039,ps 183 dr richard r green 
2040,ps 197 ocean school (the)
2041,jhs 202 robert h goddard 
2042,ps 207 rockwood park
2043,jhs 210 elizabeth blackwell 
2044,ps 223 lyndon b johnson
2045,jhs 226 virgil i grisson 
2046,ps 232 lindenwood
2047,ps 253
2048,ps 254-rosa parks school (the)
2049,ps 273
2050,knowledge and power preparatory academy vi
2051,hawtree creek middle school
2052,new york city academy for discovery
2053,waterside children's studio school
2054,waterside school for leadership
2055,village academy
2056,scholars' academy
2057,goldie maple academy
2058,wave preparatory elementary school
2059,channel view school for research
2060,acadey of medical technology - a college board school
2061,new york city geographic district #28
2062,jhs 8 richard s grossley 
2063,ps 40 samuel huntington
2064,ps 48 william wordsworth
2065,ps 50 talfourd lawn elementary school
2066,ps 54 hillside
2067,ps 55 maure
2068,catherine and count basie middle school 72
2069,ps 80 thurgood marshall magnet of multimedia
2070,ps 82 hammond
2071,ps 86
2072,ps 99 kew gardens
2073,ps 101 school in the gardens
2074,ps 117 j keld/briarwood school
2075,ps 121
2076,ps 139 rego park
2077,ps 140 edward k ellington
2078,ps 144 col jeromus remsen
2079,jhs 157 stephen a halsey 
2080,ps 160 walter francis bishop
2081,ps 161 arthur ashe school
2082,ps 174 william sidney mount
2083,ps 175 lynn gross discovery school (the)
2084,ps 182 samantha smith
2085,jhs 190 russell sage 
2086,ps 196 grand central parkway
2087,ps 206 horace harding school (the)
2088,jhs 217 robert a van wyck
2089,ps 220 edward mandel
2090,emerson school (the)
2091,academy for excellence through the arts (the)
2092,redwood middle school
2093,jermaine l green stem institute in queens
2094,ms 358
2095,metropolitan expeditionary learning school
2096,york early college academy
2097,queens collegiate - a college board school
2098,queens gateway to health sciences secondary school
2099,young women's leadership school of queens
2100,new york city geographic district #29
2101,ps 15 jackie robinson
2102,ps 33 edward m funk
2103,ps 34 john harvard
2104,ps 35 nathaniel woodhull
2105,ps 36 st albans school
2106,cynthia jenkins school
2107,ps 38 rosedale
2108,ps 52 
2109,is 59 springfield gardens
2110,ps 95 eastwood
2111,jean nuzzi intermediate school
2112,ps/is 116 william c hughley
2113,ps 118 lorraine hansberry
2114,ps 131 abigail adams
2115,ps 132 ralph bunche
2116,ps 134 hollis
2117,bellaire school (the)
2118,ps 136 roy wilkins
2119,ps/ms 138 sunrise
2120,ps/ms 147 ronald mcnair
2121,ps 156 laurelton
2122,ps 176 cambria heights
2123,ps 181 brookfield
2124,is 192 linden (the)
2125,ps 195 william haberle
2126,ps/is 208
2127,is 238 susan b anthony academy
2128,ps 251
2129,ps/is 268
2130,gordon parks school (the)
2131,queens united middle school
2132,ps/is 295
2133,collaborative arts middle school
2134,community voices middle school
2135,pathways college preparatory school:  a college board school
2136,preparatory academy for writers:  a college board school
2137,eagle academy for young men iii
2138,new york city geographic district #30
2139,ps 2 alfred zimberg
2140,is 10 horace greeley
2141,ps 11 kathryn phelan
2142,ps 17 henry david thoreau
2143,ps 69 jackson heights
2144,ps 70
2145,ps 76 william hallet
2146,ps/is 78
2147,ps 84 steinway
2148,ps 85 judge charles vallone 
2149,ps 92 harry t stewart sr
2150,ps 111 jacob blackwell
2151,ps 112 dutch kills
2152,ps 122 mamie fay
2153,albert shanker school for visual and performing arts
2154,ps 127 aerospace science magnet school
2155,is 141 steinway (the)
2156,is 145 joseph pulitzer 
2157,ps 148 
2158,ps 149 christa mcauliffe
2159,ps 150
2160,ps 151 mary d carter
2161,ps 152 gwendoline n alleyne school
2162,ps 166 henry gradstein
2163,ps 171 peter g van alst
2164,is 204 oliver w holmes
2165,is 230
2166,ps 234
2167,academy for new americans
2168,ps 280
2169,hunters point community middle school
2170,30th avenue school (the)
2171,east elmhurst community school
2172,is 227 louis armstrong
2173,young womens leadership school
2174,baccalaureate school for global education
2175,voice charter school of new york
2176,richmond county
2177,new york city geographic district #31
2178,ps 1 tottenville
2179,is 2 george l egbert
2180,ps 3 margaret gioiosa school (the)
2181,ps 4 maurice wollin
2182,ps 5 huguenot
2183,ps 6 cpl allan f kivlehan school
2184,is 7 elias bernstein
2185,ps 8 shirlee solomon
2186,naples street elementary school
2187,ps 11 thomas dongan school
2188,ps 13 m l lindemeyer
2189,ps 16 john j driscoll
2190,ps 18 john g whittier
2191,ps 19 curtis school (the)
2192,ps 20 port richmond
2193,ps 21 margaret emery-elm park
2194,ps 22 graniteville
2195,ps 23 richmondtown
2196,is 24 myra s barnes
2197,ps 26 carteret school (the)
2198,is 27 anning s prall 
2199,eagle academy of staten island (the)
2200,ps 29 bardwell
2201,ps 30 westerleigh
2202,ps 31 william t davis
2203,ps 32 gifford school (the)
2204,is 34 tottenville
2205,ps 35 clove valley school (the)
2206,ps 36 j c drumgoole
2207,ps 38 george cromwell
2208,ps 39 francis j murphy jr
2209,stephanie a vierno school (the)
2210,ps 42 eltingville
2211,ps 44 thomas c brown
2212,ps 45 john tyler
2213,ps 46 albert v maniscalco
2214,ps 48 william g wilcox
2215,is 49 berta a dreyfus
2216,ps 50 frank hankinson
2217,is 51 edwin markham
