,0
285,mcgraw elementary school
286,mcgraw secondary school
287,homer intermediate school
288,homer junior high school
289,marathon high school
290,william appleby elementary school
291,delaware county
292,andes central school
293,downsville central school
294,charlotte valley school
295,delaware academy elementary school
296,delaware academy high school
297,franklin central school
298,hancock elementary school
299,hancock junior-senior high school
300,margaretville central school
301,roxbury central school
302,sidney elementary school
303,sidney middle school
304,stamford central school
305,south kortright central school
306,townsend elementary school
307,walton middle school
308,dutchess county
309,j v forrestal elementary school
310,south avenue school
311,glenham school
312,rombout middle school
313,sargent school
314,dover elementary school
315,dover middle school
316,netherwood school
317,ralph r smith school
318,violet avenue school
319,haviland middle school
320,north park elementary school
321,webutuck elementary school
322,eugene brooks middle school
323,pawling elementary school
324,pawling middle school
325,seymour smith intermediate learning center
326,stissing mountain middle school
327,warring magnet academy of science and technology
328,gov george clinton school
329,g w krieger school
330,morse young magnet school
331,poughkeepsie middle school
332,arthur s may school
333,beekman school
334,west road/d'aquannis intermediate school
335,noxon road elementary school
336,lagrange middle school
337,titusville intermediate 
338,vail farm elementary school
339,union vale middle school
340,hagan school
341,orville a todd middle school
342,linden avenue middle school
343,mill road-intermediate grades
344,chancellor livingston elementary school
345,bulkeley middle school
346,brinckerhoff elementary school
347,fishkill elementary school
348,fishkill plains elementary school
349,gayhead school
350,james s evans elementary school
351,kinry road elementary school
352,vassar road elementary school
353,sheafe road elementary school
354,van wyck junior high school
355,wappingers junior high school
356,oak grove elementary school
357,myers corners school
358,millbrook middle school
359,alden place elementary school
360,erie county
361,alden middle school
362,alden intermediate school
363,amherst middle school
364,smallwood drive school
365,windermere blvd school
366,mill middle school
367,dodge elementary school
368,maple east elementary school
369,heim elementary school
370,forest elementary school
371,maple west elementary school
372,heim middle school
373,country parkway elementary school
374,casey middle school
375,transit middle school
376,glendale elementary school
377,maplemere elementary school
378,sweet home middle school
379,willow ridge elementary school
380,heritage heights elementary school
381,parkdale elementary school
382,east aurora middle school
383,discovery school
384,d'youville-porter campus
385,buffalo elementary school of technology
386,ps 17
387,dr antonia pantoja community school of academic excellence at #18
388,native american magnet
389,ps 27 hillery park academy
390,harriet ross tubman academy
391,build academy
392,bilingual center
393,marva j daniel futures preparatory school
394,lovejoy discovery school #43
395,international school
396,community school #53
397,dr george blackman ecc
398,frederick olmsted #156
399,ps 59 dr charles drew science magnet
400,ps 61 arthur o eve school of distinction
401,ps 64 frederick law olmsted
402,ps 65 roosevelt ecc
403,ps 66 north park middle academy
404,ps 69 houghton academy
405,lorraine elementary school
406,ps 74 hamlin park - claude and ouida clapp academy
407,herman badillo bilingual academy
408,highgate heights
409,ps 81
410,ps 82
411,southside elementary school
412,dr lydia t wright sch of excellence
413,buffalo academy for the visual & performing arts
414,city honors school
415,west hertel elementary school
416,waterfront elementary school
417,bennett park montessori school
418,stanley makowski early childhood center
419,pfc william j grabiarz #79
420,frank a sedita school #30
421,math science technology preparatory school at seneca (the)
422,alternative high school at 4
423,harvey austin school #97
424,international preparatory school (the)
425,newcomer academy at lafayette
426,western new york maritime charter school
427,elmwood village charter school
428,aloma d johnson charter school
429,union east elementary school
430,cheektowaga middle school
431,maryvale intermediate school
432,maryvale middle school
433,cleveland hill elementary school
434,cleveland hill middle school
435,depew middle school
436,woodrow wilson elementary school
437,ledgeview elementary school
438,sheridan hill elementary school
439,clarence center elementary school
440,clarence middle school
441,colden elementary school
442,springville elementary school
443,griffith institute middle school
444,eden junior-senior high school
445,eden elementary school
446,iroquois intermediate school
447,marilla primary school
448,wales primary school
449,elma primary school
450,john t waugh elementary school
451,a j schmidt elementary school
452,lake shore middle school
453,huth road school
454,kaegebein school
455,veronica e connor middle school
456,armor elementary school
457,boston valley elementary school
458,charlotte avenue elementary school
459,union pleasant avenue elementary school
460,hamburg middle school
461,big tree elementary school
462,blasdell elementary school
463,cloverbank elementary school
464,pinehurst elementary school
465,frontier middle school
466,holland junior/senior high school
467,harold o brumsted elementary school
468,lackawanna middle school
469,martin road elementary school
470,john a sciole elementary school
471,como park elementary school
472,court street elementary school
473,hillview elementary school
474,lancaster middle school
475,william street school
476,akron elementary school
477,akron middle school
478,north collins junior-senior high school
479,north collins elementary school
480,windom elementary school
481,orchard park middle school
482,eggert road elementary school
483,south davis elementary school
484,ellicott road elementary school
485,fletcher elementary school
486,mullen elementary school
487,riverview elementary school
488,tonawanda middle/high school
489,ben franklin middle school
490,charles a lindbergh elementary school
491,herbert hoover middle school
492,holmes elementary school
493,thomas a edison elementary school
494,ben franklin elementary school
495,herbert hoover elementary school
496,kenmore east senior high school
497,kenmore west senior high school
498,allendale elementary school
499,east middle school
500,winchester elementary school
501,essex county
502,crown point central school
503,elizabethtown-lewis central school district
504,elizabethtown-lewis central school
505,keene central school
506,minerva central school
507,moriah junior-senior high school
508,moriah elementary school
509,newcomb central school
510,lake placid junior-senior high school
511,lake placid elementary school
512,schroon lake central school
513,ticonderoga elementary school
514,ticonderoga middle school
515,westport central school district
516,westport central school
517,willsboro central school
518,franklin county
519,tupper lake middle-high school
520,l p quinn elementary school
521,chateaugay elementary school
522,chateaugay high school
523,saint regis mohawk school
524,salmon river elementary school
525,salmon river middle school
526,petrova elementary school
527,saranac lake middle school
528,bloomingdale school
529,flanders elementary school
530,davis elementary school
531,malone middle school
532,saint joseph's elementary school
533,brushton-moira high school
534,brushton grade school
535,saint regis falls central school
536,fulton county
537,wheelerville school
538,boulevard school
539,mcnab-meco school
540,park terrace school
541,gloversville middle school
542,kingsborough school
543,glebe street elementary school
544,warren street school
545,knox junior high school
546,mayfield elementary school
547,mayfield jr/sr high school
548,northville high school
549,northville elementary school
550,broadalbin-perth intermediate school
551,broadalbin-perth middle school
552,genesee county
553,alexander elementary school
554,alexander middle school-high school
555,john kennedy school
556,batavia middle school
557,byron-bergen junior/senior high school
558,byron-bergen elementary school
559,elba elementary school
560,elba junior-senior high school
561,wolcott street school
562,le roy junior-senior high school
563,oakfield-alabama middle school high school
564,oakfield-alabama elementary school
565,pavilion junior-senior high school
566,d b bunce elementary school
567,pembroke intermediate school
568,pembroke junior-senior high school
569,greene county
570,cairo-durham elementary school
571,cairo-durham middle school
572,catskill middle school
573,catskill elementary school
574,coxsackie elementary school
575,edward j arthur elementary school
576,coxsackie-athens middle school
577,greenville middle school
578,scott m ellis elementary school
579,hunter-tannersville middle school high school
580,hunter elementary school
581,windham ashland central school
582,hamilton county
583,indian lake central school
584,lake pleasant school
585,long lake central school
586,wells school
587,herkimer county
588,west canada valley junior-senior high school
589,west canada valley elementary school
590,frankfort-schuyler elementary school
591,frankfort-schuyler middle school
592,herkimer high school
593,herkimer elementary school
594,benton hall academy
595,little falls middle school
596,dolgeville elementary school
597,dolgeville middle school
598,poland junior-senior high school
599,poland elementary school
600,owen d young central school
601,town of webb school
602,mount markham elementary school
603,mount markham middle school
604,gregory b jarvis middle school
605,barringer road elementary school
606,jefferson county
607,maynard p wilson elementary school
608,mannsville manor elementary school
609,alexandria central elementary school
610,alexandria central high school
611,antwerp primary school
612,evans mills primary school
613,philadelphia primary school
614,theresa primary school
615,indian river middle school
616,calcium primary school
617,indian river intermediate school
618,brownville school
619,dexter elementary school
620,general brown junior-senior high school
621,guardino elementary school
622,cape vincent elementary school
623,thousand islands middle school
624,belleville henderson central school
625,sackets harbor central school
626,lyme central school
627,la fargeville central school
628,knickerbocker school
629,sherman school
630,starbuck elementary school
631,case middle school
632,ohio street school
633,harold t wiley school
634,black river school
635,carthage elementary school
636,west carthage elementary school
637,carthage middle school
638,lewis county
639,copenhagen central school
640,harrisville elementary school
641,harrisville junior-senior high school
642,lowville elementary school
643,lowville middle school
644,glenfield elementary school
645,south lewis middle school
646,port leyden elementary school
647,beaver river elementary school
648,beaver river middle school
649,livingston county
650,avon primary school
651,avon middle school
652,caledonia-mumford elementary school
653,caledonia-mumford middle school
654,geneseo middle school high school
655,geneseo elementary school
656,livonia elementary school
657,livonia middle school
658,mount morris middle/senior high school
659,mount morris elementary school
660,ellis b hyde elementary school
661,dansville high school
662,dalton-nunda intermediate school
663,dalton-nunda primary school
664,dalton-nunda secondary school
665,york central elementary school
666,york middle/high school
667,madison county
668,brookfield central school
669,cazenovia middle school
670,cazenovia high school
671,burton street elementary school
672,deruyter high school
673,deruyter elementary school
674,edward r andrews elementary school
675,morrisville middle school high school
676,hamilton junior-senior high school
677,canastota high school
678,roberts street middle school
679,south side elementary school
680,madison central school
681,durhamville school
682,north broad street school
683,seneca street school
684,w f prior elementary school
685,otto l shortell middle school
686,stockbridge valley central school
687,bridgeport elementary school
688,bolivar road elementary school
689,chittenango middle school
690,monroe county
691,twelve corners middle school
692,french road elementary school
693,florence brasser school
694,gates-chili middle school
695,paul road school
696,walt disney school
697,neil armstrong school
698,longridge school
699,brookside elementary school campus
700,west ridge elementary school
701,olympia high school
702,paddy hill elementary school
703,lakeshore elementary school
704,buckman heights elementary school
705,odyssey academy
706,craig hill elementary school
707,athena middle school
708,arcadia middle school
709,pine brook elementary school
710,young women's college prep charter school of rochester
711,laurelton-pardee intermediate school
712,durand-eastman intermediate school
713,east irondequoit middle school
714,briarwood school
715,dake junior high school
716,iroquois middle school
717,rogers middle school
718,seneca school
719,colebrook school
720,southlawn school
721,brookview school
722,listwood school
723,manor intermediate school
724,honeoye falls-lima middle school
725,william c munn school
726,leo bernabi school
727,a m cosgrove middle school
728,terry taylor elementary school
729,canal view elementary school
730,village elementary school
731,quest elementary school
732,merton williams middle school
733,northwood elementary school
734,cobbles elementary school
735,indian landing elementary school
736,scribner road elementary school
737,bay trail middle school
738,harris hill elementary school
739,brooks hill school
740,johanna perrin middle school
741,martha brown middle school
742,jefferson avenue school
743,east rochester elementary school
744,east rochester junior-senior high school
745,allen creek school
746,jefferson road school
747,park road school
748,mendon center elementary school
749,barker road middle school
750,thornell road school
751,calkins road middle school
752,chestnut ridge elementary school
753,churchville elementary school
754,fairbanks road elementary school
755,churchville-chili middle school
756,school 1-martin b anderson
757,school 2-clara barton
758,school 3-nathaniel rochester 
759,school 4-george mather forbes
760,school 5-john williams
761,school 7-virgil grissom
762,school 8-roberto clemente
763,school 9-dr martin luther king jr
764,dr walter cooper academy
765,school 12-james p b duffy
766,school 15-children's school of rochester (the)
767,school 16-john walton spencer
768,school 17-enrico fermi
769,school 19-dr charles t lunsford
770,school 20-henry lomb school
771,school 22-lincoln school
772,school 23-francis parker
773,school 25-nathaniel hawthorne
774,school 28-henry hudson
775,school 29-adlai e stevenson
776,school 33-audubon
777,school 34-dr louis a cerulli
778,school 35-pinnacle
779,school 39-andrew j townson
780,school 41-kodak park
781,school 42-abelard reynolds
782,school 43-theodore roosevelt
783,school 44-lincoln park
784,school 45-mary mcleod bethune
785,school 46-charles carroll
786,school 50-helen barrett montgomery
787,school 52-frank fowler dow
788,school 53 montessori academy
789,school 54-flower city community school
790,school 58-world of inquiry school
791,james monroe high school
792,joseph c wilson foundation academy
793,school of the arts
794,northwest college preparatory high school
795,integrated arts and technology high school
796,leadership academy for young men 
797,east lower school
798,true north rochester preparatory charter school - west campus
799,puc achieve charter school
800,ethel k fyle elementary school
801,monica b leary elementary school
802,david b crane elementary school
803,floyd s winslow elementary school
804,emma e sherman elementary school
805,charles h roth junior high school
806,henry v burger junior high school
807,barclay elementary school
808,a d oliver middle school
809,fred w hill school
810,dewitt road elementary school
811,klem road north elementary school
812,plank road north elementary school
813,state road elementary school
814,spry middle school
815,willink middle school
816,plank road south elementary school
817,klem road south elementary school
818,schlegel road elementary school
819,wheatland-chili high school
820,t j connor elementary school
821,montgomery county
822,william h barkley microsociety
823,raphael j mcnulty academy for intern studies & literacy
824,wilbur h lynch literacy academy
825,william b tecler arts in education
826,marie curie institute of engineering and communication
827,canajoharie middle school
828,east hill school
829,fonda-fultonville k-4 school
830,fonda-fultonville 5-8 school
831,harry hoag school
832,fort plain junior-senior high school
833,oppenheim-ephratah-st johnsville elementary school
834,oppenheim-ephratah-st johnsville junior/senior high school
835,nassau county
836,connolly school
837,landing school
838,robert m finley middle school
839,franklin school
840,david paterson school
841,jackson main elementary school
842,barack obama elementary school
843,jackson annex school
844,alverta b gray schultz middle school
845,front street elementary school
846,california avenue elementary school
847,grand avenue elementary school
848,northern parkway elementary school
849,smith street elementary school
850,walnut street elementary school
851,lawrence road middle school
852,turtle hook middle school
853,barnum woods school
854,bowling green school
855,mcvey elementary school
856,parkway school
857,clarke middle school
858,woodland middle school
859,meadowbrook elementary school
860,newbridge road school
861,saw mill road school
862,john g dinkelmeyer school
863,martin avenue elementary school
864,east broadway school
865,abbey lane school
866,gardiners avenue school
867,lee road school
868,summit lane school
869,wisdom lane middle school
870,northside school
871,jonas e salk middle school
872,seaford harbor school
873,seaford manor school
874,seaford middle school
875, shore road school
876, winthrop avenue school
877,centennial avenue elementary school
878,ulysses byas elementary school
879,washington rose school
880,roosevelt middle school
881,archer street school
882,bayview avenue school
883,caroline g atkinson school
884,leo f giblyn school
885,john w dodd middle school
886,new visions elementary school
887,brookside elementary school
888,lenox elementary school
889,meadow elementary school
890,plaza elementary school
891,steele elementary school
892,baldwin middle school
893,school 2
894,school 3
895,school 4
896,school 9e-boardman elem school
897,school 8
898,school 9m-oceanside middle school
899,davison avenue intermediate school
900,howard t herber middle school
901,james a dever school
902,howell road school
903,wheeler avenue school
904,willow road school
905,hewlett elementary school
906,ogden elementary school
907,woodmere middle school
908,lawrence elementary school at broadway campus
909,lawrence middle school at broadway campus
910,alden terrace school
911,clara h carlson school
912,covert avenue school
913,dutch broadway school
914,gotham avenue school
915,stewart manor school
916,john street school
917,polk street school
918,washington street school
919,stratford avenue school
920,stewart school
921,garden city middle school
922,rhame avenue elementary school
923,east rockaway junior-senior high school
924,centre avenue elementary school
925,marion street school
926,waverly park school
927,west end school
928,lynbrook north middle school
929,lynbrook south middle school
930,south side middle school
931,watson school
932,riverside school
933,hewitt school
934,william s covert school
935,wilson school
936,floral park-bellerose school
937,john lewis childs school
938,forest lake school
939,mandalay school
940,wantagh school
941,wantagh middle school
942,brooklyn avenue school
943,robert w carbonaro school
944,william l buck school
945,birch school
946,norman j levy lakeside school
947,chatterton school
948,island trees middle school
949,michael f stokes school
950,cornwell avenue school
951,west hempstead middle school
952,camp avenue school
953,harold d fayette school
954,old mill road school
955,clearstream avenue school
956,forest road school
957,shaw avenue school
958,island park lincoln orens middle school
959,francis x hegarty elementary school
960,valley stream memorial junior high school
961,valley stream north high school
962,valley stream south high school
963,elmont memorial high school
964,floral park memorial high school
965,h frank carey high school
966,new hyde park memorial high school
967,sewanhaka high school
968,grand avenue middle school
969,merrick avenue middle school
970,east elementary school
971,lido elementary school
972,west elementary school
973,lindell boulevard school
974,long beach middle school
975,drexel avenue school
976,powells lane school
977,westbury middle school
978,north side school
979,willets road school
980,wheatley school
981,east hills elementary school
982,harbor hill school
983,roslyn middle school
984,guggenheim elementary school
985,manorhaven elementary school
986,john j daly elementary school
987,south salem elementary school
988,john philip sousa elementary school
989,carrie palmer weber middle school
990,garden city park school
991,new hyde park road school
992,hillside grade school
993,manor oaks william bowie school
994,munsey park elementary school
995,shelter rock elementary school
996,manhasset middle school
997,e m baker school
998,lakeville elementary school
999,saddle rock school
1000,great neck north middle school
1001,great neck south middle school
1002,center street school
1003,denton avenue school
1004,searingtown school
1005,herricks middle school
1006,jackson avenue school
1007,mineola high school
1008,mineola middle school
1009,rushmore avenue school
1010,carle place middle senior high school
1011,glen head elementary school
1012,glenwood landing elementary school
1013,sea cliff elementary school
1014,north shore middle school
1015,walt whitman elementary school
1016,willits elementary school
1017,berry hill elementary school
1018,baylis elementary school
1019,robbins lane elementary school
1020,south grove elementary school
1021,h b thompson middle school
1022,south woods middle school
1023,bayville elementary school
1024,locust valley middle school
1025,ann macarthur primary school
1026,pasadena elementary school
1027,judy jacobs parkway elementary school
