,year,Level,District_Code,District_Name,School_Name,Content,Grade,Mean_Scale_Score
2842,2017,SCHOOL,1040,ACADEMY 20,WOODMEN-ROBERTS ELEMENTARY SCHOOL,english,5,764
2843,2017,SCHOOL,1040,ACADEMY 20,CHALLENGER MIDDLE SCHOOL,english,6,752
2844,2017,SCHOOL,1040,ACADEMY 20,THE CLASSICAL ACADEMY CHARTER,english,6,755
2845,2017,SCHOOL,1040,ACADEMY 20,ACADEMY CALVERT K-8 ONLINE SCHOOL,english,6,744
2846,2017,SCHOOL,1040,ACADEMY 20,DISCOVERY CANYON CAMPUS MIDDLE SCHOOL,english,6,755
2847,2017,SCHOOL,1040,ACADEMY 20,EAGLEVIEW MIDDLE SCHOOL,english,6,754
2848,2017,SCHOOL,1040,ACADEMY 20,MOUNTAIN RIDGE MIDDLE SCHOOL,english,6,745
2849,2017,SCHOOL,1040,ACADEMY 20,TIMBERVIEW MIDDLE SCHOOL,english,6,751
2850,2017,SCHOOL,1040,ACADEMY 20,CHALLENGER MIDDLE SCHOOL,english,7,772
2851,2017,SCHOOL,1040,ACADEMY 20,ASPEN VALLEY CAMPUS,english,7,721
2852,2017,SCHOOL,1040,ACADEMY 20,THE CLASSICAL ACADEMY MIDDLE SCHOOL,english,7,745
2853,2017,SCHOOL,1040,ACADEMY 20,ACADEMY CALVERT K-8 ONLINE SCHOOL,english,7,733
2854,2017,SCHOOL,1040,ACADEMY 20,DISCOVERY CANYON CAMPUS MIDDLE SCHOOL,english,7,756
2855,2017,SCHOOL,1040,ACADEMY 20,EAGLEVIEW MIDDLE SCHOOL,english,7,750
2856,2017,SCHOOL,1040,ACADEMY 20,MOUNTAIN RIDGE MIDDLE SCHOOL,english,7,750
2857,2017,SCHOOL,1040,ACADEMY 20,TCA COLLEGE PATHWAYS,english,7,762
2858,2017,SCHOOL,1040,ACADEMY 20,TIMBERVIEW MIDDLE SCHOOL,english,7,769
2859,2017,SCHOOL,1040,ACADEMY 20,CHALLENGER MIDDLE SCHOOL,english,8,764
2860,2017,SCHOOL,1040,ACADEMY 20,ASPEN VALLEY CAMPUS,english,8,731
2861,2017,SCHOOL,1040,ACADEMY 20,THE CLASSICAL ACADEMY MIDDLE SCHOOL,english,8,743
2863,2017,SCHOOL,1040,ACADEMY 20,DISCOVERY CANYON CAMPUS MIDDLE SCHOOL,english,8,762
2864,2017,SCHOOL,1040,ACADEMY 20,EAGLEVIEW MIDDLE SCHOOL,english,8,755
2865,2017,SCHOOL,1040,ACADEMY 20,MOUNTAIN RIDGE MIDDLE SCHOOL,english,8,744
2866,2017,SCHOOL,1040,ACADEMY 20,TCA COLLEGE PATHWAYS,english,8,769
2867,2017,SCHOOL,1040,ACADEMY 20,TIMBERVIEW MIDDLE SCHOOL,english,8,737
2868,2017,SCHOOL,1040,ACADEMY 20,AIR ACADEMY HIGH SCHOOL,english,9,754
2869,2017,SCHOOL,1040,ACADEMY 20,ACADEMY ONLINE,english,9,740
2870,2017,SCHOOL,1040,ACADEMY 20,ASPEN VALLEY CAMPUS,english,9,726
2871,2017,SCHOOL,1040,ACADEMY 20,THE CLASSICAL ACADEMY HIGH SCHOOL,english,9,759
2872,2017,SCHOOL,1040,ACADEMY 20,DISCOVERY CANYON CAMPUS HIGH SCHOOL,english,9,746
2873,2017,SCHOOL,1040,ACADEMY 20,LIBERTY HIGH SCHOOL,english,9,745
2874,2017,SCHOOL,1040,ACADEMY 20,PINE CREEK HIGH SCHOOL,english,9,758
2875,2017,SCHOOL,1040,ACADEMY 20,RAMPART HIGH SCHOOL,english,9,734
2876,2017,SCHOOL,1040,ACADEMY 20,TCA COLLEGE PATHWAYS,english,9,768
2877,2017,SCHOOL,1040,ACADEMY 20,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,maths,3,765
2878,2017,SCHOOL,1040,ACADEMY 20,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,maths,3,764
2879,2017,SCHOOL,1040,ACADEMY 20,ANTELOPE TRAILS ELEMENTARY SCHOOL,maths,3,749
2880,2017,SCHOOL,1040,ACADEMY 20,CHINOOK TRAIL ELEMENTARY SCHOOL,maths,3,779
2881,2017,SCHOOL,1040,ACADEMY 20,THE CLASSICAL ACADEMY CHARTER,maths,3,762
2883,2017,SCHOOL,1040,ACADEMY 20,DISCOVERY CANYON CAMPUS ELEMENTARY SCHOOL,maths,3,765
2884,2017,SCHOOL,1040,ACADEMY 20,DOUGLASS VALLEY ELEMENTARY SCHOOL,maths,3,753
2885,2017,SCHOOL,1040,ACADEMY 20,EDITH WOLFORD ELEMENTARY SCHOOL,maths,3,738
2886,2017,SCHOOL,1040,ACADEMY 20,EXPLORER ELEMENTARY SCHOOL,maths,3,764
2887,2017,SCHOOL,1040,ACADEMY 20,FOOTHILLS ELEMENTARY SCHOOL,maths,3,749
2888,2017,SCHOOL,1040,ACADEMY 20,FRONTIER ELEMENTARY SCHOOL,maths,3,733
2889,2017,SCHOOL,1040,ACADEMY 20,HIGH PLAINS ELEMENTARY SCHOOL,maths,3,747
2890,2017,SCHOOL,1040,ACADEMY 20,MOUNTAIN VIEW ELEMENTARY SCHOOL,maths,3,766
2891,2017,SCHOOL,1040,ACADEMY 20,PIONEER ELEMENTARY SCHOOL,maths,3,746
2892,2017,SCHOOL,1040,ACADEMY 20,PRAIRIE HILLS ELEMENTARY SCHOOL,maths,3,756
2893,2017,SCHOOL,1040,ACADEMY 20,RANCH CREEK ELEMENTARY,maths,3,755
2894,2017,SCHOOL,1040,ACADEMY 20,ROCKRIMMON ELEMENTARY SCHOOL,maths,3,739
2895,2017,SCHOOL,1040,ACADEMY 20,THE DA VINCI ACADEMY SCHOOL,maths,3,753
2896,2017,SCHOOL,1040,ACADEMY 20,WOODMEN-ROBERTS ELEMENTARY SCHOOL,maths,3,755
2897,2017,SCHOOL,1040,ACADEMY 20,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,maths,4,750
2898,2017,SCHOOL,1040,ACADEMY 20,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,maths,4,754
2899,2017,SCHOOL,1040,ACADEMY 20,ANTELOPE TRAILS ELEMENTARY SCHOOL,maths,4,746
2900,2017,SCHOOL,1040,ACADEMY 20,CHINOOK TRAIL ELEMENTARY SCHOOL,maths,4,757
2901,2017,SCHOOL,1040,ACADEMY 20,THE CLASSICAL ACADEMY CHARTER,maths,4,756
2903,2017,SCHOOL,1040,ACADEMY 20,DISCOVERY CANYON CAMPUS ELEMENTARY SCHOOL,maths,4,759
2904,2017,SCHOOL,1040,ACADEMY 20,DOUGLASS VALLEY ELEMENTARY SCHOOL,maths,4,753
2905,2017,SCHOOL,1040,ACADEMY 20,EDITH WOLFORD ELEMENTARY SCHOOL,maths,4,749
2906,2017,SCHOOL,1040,ACADEMY 20,EXPLORER ELEMENTARY SCHOOL,maths,4,744
2907,2017,SCHOOL,1040,ACADEMY 20,FOOTHILLS ELEMENTARY SCHOOL,maths,4,747
2908,2017,SCHOOL,1040,ACADEMY 20,FRONTIER ELEMENTARY SCHOOL,maths,4,730
2909,2017,SCHOOL,1040,ACADEMY 20,HIGH PLAINS ELEMENTARY SCHOOL,maths,4,734
2910,2017,SCHOOL,1040,ACADEMY 20,MOUNTAIN VIEW ELEMENTARY SCHOOL,maths,4,762
2911,2017,SCHOOL,1040,ACADEMY 20,PIONEER ELEMENTARY SCHOOL,maths,4,733
2912,2017,SCHOOL,1040,ACADEMY 20,PRAIRIE HILLS ELEMENTARY SCHOOL,maths,4,742
2913,2017,SCHOOL,1040,ACADEMY 20,RANCH CREEK ELEMENTARY,maths,4,752
2914,2017,SCHOOL,1040,ACADEMY 20,ROCKRIMMON ELEMENTARY SCHOOL,maths,4,743
2915,2017,SCHOOL,1040,ACADEMY 20,THE DA VINCI ACADEMY SCHOOL,maths,4,744
2916,2017,SCHOOL,1040,ACADEMY 20,WOODMEN-ROBERTS ELEMENTARY SCHOOL,maths,4,757
2917,2017,SCHOOL,1040,ACADEMY 20,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,maths,5,741
2918,2017,SCHOOL,1040,ACADEMY 20,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,maths,5,759
2919,2017,SCHOOL,1040,ACADEMY 20,ANTELOPE TRAILS ELEMENTARY SCHOOL,maths,5,745
2920,2017,SCHOOL,1040,ACADEMY 20,CHINOOK TRAIL ELEMENTARY SCHOOL,maths,5,758
2921,2017,SCHOOL,1040,ACADEMY 20,THE CLASSICAL ACADEMY CHARTER,maths,5,750
2923,2017,SCHOOL,1040,ACADEMY 20,DISCOVERY CANYON CAMPUS ELEMENTARY SCHOOL,maths,5,750
2924,2017,SCHOOL,1040,ACADEMY 20,DOUGLASS VALLEY ELEMENTARY SCHOOL,maths,5,743
2925,2017,SCHOOL,1040,ACADEMY 20,EDITH WOLFORD ELEMENTARY SCHOOL,maths,5,746
2926,2017,SCHOOL,1040,ACADEMY 20,EXPLORER ELEMENTARY SCHOOL,maths,5,749
2927,2017,SCHOOL,1040,ACADEMY 20,FOOTHILLS ELEMENTARY SCHOOL,maths,5,745
2928,2017,SCHOOL,1040,ACADEMY 20,FRONTIER ELEMENTARY SCHOOL,maths,5,735
2929,2017,SCHOOL,1040,ACADEMY 20,HIGH PLAINS ELEMENTARY SCHOOL,maths,5,738
2930,2017,SCHOOL,1040,ACADEMY 20,MOUNTAIN VIEW ELEMENTARY SCHOOL,maths,5,756
2931,2017,SCHOOL,1040,ACADEMY 20,PIONEER ELEMENTARY SCHOOL,maths,5,732
2932,2017,SCHOOL,1040,ACADEMY 20,PRAIRIE HILLS ELEMENTARY SCHOOL,maths,5,743
2933,2017,SCHOOL,1040,ACADEMY 20,RANCH CREEK ELEMENTARY,maths,5,746
2934,2017,SCHOOL,1040,ACADEMY 20,ROCKRIMMON ELEMENTARY SCHOOL,maths,5,744
2935,2017,SCHOOL,1040,ACADEMY 20,THE DA VINCI ACADEMY SCHOOL,maths,5,746
2936,2017,SCHOOL,1040,ACADEMY 20,WOODMEN-ROBERTS ELEMENTARY SCHOOL,maths,5,762
2937,2017,SCHOOL,1040,ACADEMY 20,CHALLENGER MIDDLE SCHOOL,maths,6,752
2938,2017,SCHOOL,1040,ACADEMY 20,THE CLASSICAL ACADEMY CHARTER,maths,6,758
2939,2017,SCHOOL,1040,ACADEMY 20,ACADEMY CALVERT K-8 ONLINE SCHOOL,maths,6,730
2940,2017,SCHOOL,1040,ACADEMY 20,DISCOVERY CANYON CAMPUS MIDDLE SCHOOL,maths,6,756
2941,2017,SCHOOL,1040,ACADEMY 20,EAGLEVIEW MIDDLE SCHOOL,maths,6,749
2942,2017,SCHOOL,1040,ACADEMY 20,MOUNTAIN RIDGE MIDDLE SCHOOL,maths,6,733
2943,2017,SCHOOL,1040,ACADEMY 20,TIMBERVIEW MIDDLE SCHOOL,maths,6,748
2944,2017,SCHOOL,1040,ACADEMY 20,CHALLENGER MIDDLE SCHOOL,maths,7,750
2945,2017,SCHOOL,1040,ACADEMY 20,ASPEN VALLEY CAMPUS,maths,7,717
2946,2017,SCHOOL,1040,ACADEMY 20,THE CLASSICAL ACADEMY MIDDLE SCHOOL,maths,7,736
2947,2017,SCHOOL,1040,ACADEMY 20,ACADEMY CALVERT K-8 ONLINE SCHOOL,maths,7,730
2948,2017,SCHOOL,1040,ACADEMY 20,DISCOVERY CANYON CAMPUS MIDDLE SCHOOL,maths,7,742
2949,2017,SCHOOL,1040,ACADEMY 20,EAGLEVIEW MIDDLE SCHOOL,maths,7,740
2950,2017,SCHOOL,1040,ACADEMY 20,MOUNTAIN RIDGE MIDDLE SCHOOL,maths,7,737
2951,2017,SCHOOL,1040,ACADEMY 20,TCA COLLEGE PATHWAYS,maths,7,741
2952,2017,SCHOOL,1040,ACADEMY 20,TIMBERVIEW MIDDLE SCHOOL,maths,7,737
2953,2017,SCHOOL,1040,ACADEMY 20,CHALLENGER MIDDLE SCHOOL,maths,8,741
2954,2017,SCHOOL,1040,ACADEMY 20,ASPEN VALLEY CAMPUS,maths,8,720
2955,2017,SCHOOL,1040,ACADEMY 20,THE CLASSICAL ACADEMY MIDDLE SCHOOL,maths,8,713
2957,2017,SCHOOL,1040,ACADEMY 20,DISCOVERY CANYON CAMPUS MIDDLE SCHOOL,maths,8,736
2958,2017,SCHOOL,1040,ACADEMY 20,EAGLEVIEW MIDDLE SCHOOL,maths,8,731
2959,2017,SCHOOL,1040,ACADEMY 20,MOUNTAIN RIDGE MIDDLE SCHOOL,maths,8,731
2961,2017,SCHOOL,1040,ACADEMY 20,TIMBERVIEW MIDDLE SCHOOL,maths,8,728
3000,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,GLACIER PEAK ELEMENTARY SCHOOL,english,3,733
3001,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,MERIDIAN ELEMENTARY SCHOOL,english,3,763
3002,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,ARAPAHOE RIDGE ELEMENTARY SCHOOL,english,3,739
3003,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,CENTENNIAL ELEMENTARY SCHOOL,english,3,728
3004,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,STARGATE CHARTER SCHOOL,english,3,752
3005,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,CORONADO HILLS ELEMENTARY SCHOOL,english,3,702
3006,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,COTTON CREEK ELEMENTARY SCHOOL,english,3,747
3007,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,COYOTE RIDGE ELEMENTARY SCHOOL,english,3,764
3008,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,EAGLEVIEW ELEMENTARY SCHOOL,english,3,756
3009,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,TARVER ELEMENTARY SCHOOL,english,3,741
3010,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,CHERRY DRIVE ELEMENTARY SCHOOL,english,3,729
3011,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,SKYVIEW ELEMENTARY SCHOOL,english,3,731
3012,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,HUNTERS GLEN ELEMENTARY SCHOOL,english,3,750
3013,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,ROCKY MOUNTAIN ELEMENTARY SCHOOL,english,3,712
3014,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,RIVERDALE ELEMENTARY SCHOOL,english,3,745
3015,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,FEDERAL HEIGHTS ELEMENTARY SCHOOL,english,3,714
3016,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,HILLCREST ELEMENTARY SCHOOL,english,3,707
3017,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,HULSTROM OPTIONS K-8 SCHOOL,english,3,792
3018,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,LEROY DRIVE ELEMENTARY SCHOOL,english,3,717
3019,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,MALLEY DRIVE ELEMENTARY SCHOOL,english,3,711
3020,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,MC ELWAIN ELEMENTARY SCHOOL,english,3,712
3021,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,MOUNTAIN VIEW ELEMENTARY SCHOOL,english,3,753
3022,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,NORTH MOR ELEMENTARY SCHOOL,english,3,716
3023,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,NORTH STAR ELEMENTARY SCHOOL,english,3,719
3024,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,PROSPECT RIDGE ACADEMY,english,3,748
3025,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,PRAIRIE HILLS ELEMENTARY SCHOOL,english,3,757
3026,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,SILVER CREEK ELEMENTARY,english,3,763
3027,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,THE STUDIO SCHOOL,english,3,742
3028,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,STELLAR ELEMENTARY SCHOOL,english,3,741
3029,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,STEM LAB,english,3,764
3030,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,STEM LAUNCH,english,3,707
3031,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,STUKEY ELEMENTARY SCHOOL,english,3,700
3032,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,THORNTON ELEMENTARY SCHOOL,english,3,717
3033,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,WESTGATE CHARTER,english,3,758
3034,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,WESTVIEW ELEMENTARY SCHOOL,english,3,735
3035,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,WOODGLEN ELEMENTARY SCHOOL,english,3,733
3036,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,GLACIER PEAK ELEMENTARY SCHOOL,english,4,748
3037,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,MERIDIAN ELEMENTARY SCHOOL,english,4,773
3038,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,ARAPAHOE RIDGE ELEMENTARY SCHOOL,english,4,760
3039,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,CENTENNIAL ELEMENTARY SCHOOL,english,4,740
3040,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,STARGATE CHARTER SCHOOL,english,4,761
3041,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,CORONADO HILLS ELEMENTARY SCHOOL,english,4,724
3042,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,COTTON CREEK ELEMENTARY SCHOOL,english,4,758
3043,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,COYOTE RIDGE ELEMENTARY SCHOOL,english,4,755
3044,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,EAGLEVIEW ELEMENTARY SCHOOL,english,4,743
3045,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,TARVER ELEMENTARY SCHOOL,english,4,745
3046,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,CHERRY DRIVE ELEMENTARY SCHOOL,english,4,726
3047,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,SKYVIEW ELEMENTARY SCHOOL,english,4,752
3048,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,HUNTERS GLEN ELEMENTARY SCHOOL,english,4,740
3049,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,ROCKY MOUNTAIN ELEMENTARY SCHOOL,english,4,712
3050,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,RIVERDALE ELEMENTARY SCHOOL,english,4,740
3051,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,FEDERAL HEIGHTS ELEMENTARY SCHOOL,english,4,719
3052,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,HILLCREST ELEMENTARY SCHOOL,english,4,728
3053,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,HULSTROM OPTIONS K-8 SCHOOL,english,4,792
3054,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,LEROY DRIVE ELEMENTARY SCHOOL,english,4,733
3055,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,MALLEY DRIVE ELEMENTARY SCHOOL,english,4,719
3056,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,MC ELWAIN ELEMENTARY SCHOOL,english,4,713
3057,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,MOUNTAIN VIEW ELEMENTARY SCHOOL,english,4,748
3058,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,NORTH MOR ELEMENTARY SCHOOL,english,4,720
3059,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,NORTH STAR ELEMENTARY SCHOOL,english,4,717
3060,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,PROSPECT RIDGE ACADEMY,english,4,752
3061,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,PRAIRIE HILLS ELEMENTARY SCHOOL,english,4,758
3062,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,SILVER CREEK ELEMENTARY,english,4,764
3063,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,THE STUDIO SCHOOL,english,4,736
3064,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,STELLAR ELEMENTARY SCHOOL,english,4,741
3065,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,STEM LAB,english,4,752
3066,2017,SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,STEM LAUNCH,english,4,741
