District,District Code,School,School Code,Grade,Subject,Total Number of Students,Total Number Tested,Smarter Balanced Participation Rate,Total Number with Scored Tests,Count,%,Count,%,Count,%,Count,%,Count,%,Average VSS
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,8,Math,94,93,98.9,93,40,43,25,26.9,12,12.9,16,17.2,28,30.1,2528
Amistad Academy District,2790013,Amistad Academy,2795113,3,ELA,96,96,100,96,31,32.3,28,29.2,22,22.9,15,15.6,37,38.5,2402
Amistad Academy District,2790013,Amistad Academy,2795113,3,Math,96,95,99,95,41,43.2,30,31.6,*,*,*,*,24,25.3,2392
Amistad Academy District,2790013,Amistad Academy,2795113,4,ELA,92,92,100,92,36,39.1,30,32.6,12,13,14,15.2,26,28.3,2436
Amistad Academy District,2790013,Amistad Academy,2795113,4,Math,92,89,96.7,89,44,49.4,28,31.5,*,*,*,*,17,19.1,2423
Amistad Academy District,2790013,Amistad Academy,2795113,5,ELA,95,95,100,95,37,38.9,22,23.2,23,24.2,13,13.7,36,37.9,2474
Amistad Academy District,2790013,Amistad Academy,2795113,5,Math,95,95,100,95,52,54.7,33,34.7,*,*,*,*,10,10.5,2444
Amistad Academy District,2790013,Amistad Academy,2795113,6,ELA,97,91,93.8,91,31,34.1,25,27.5,26,28.6,9,9.9,35,38.5,2498
Amistad Academy District,2790013,Amistad Academy,2795113,6,Math,97,91,93.8,91,56,61.5,18,19.8,*,*,*,*,17,18.7,2448
Amistad Academy District,2790013,Amistad Academy,2795113,7,ELA,89,87,97.8,87,12,13.8,28,32.2,37,42.5,10,11.5,47,54,2561
Amistad Academy District,2790013,Amistad Academy,2795113,7,Math,89,84,94.4,84,24,28.6,34,40.5,16,19,10,11.9,26,31,2524
Amistad Academy District,2790013,Amistad Academy,2795113,8,ELA,88,86,97.7,86,23,26.7,19,22.1,30,34.9,14,16.3,44,51.2,2567
Amistad Academy District,2790013,Amistad Academy,2795113,8,Math,88,86,97.7,86,42,48.8,28,32.6,*,*,*,*,16,18.6,2498
Andover School District,0010011,Andover Elementary School,0010111,3,ELA,19,19,*,19,*,*,*,*,*,*,*,*,*,*,*
Andover School District,0010011,Andover Elementary School,0010111,3,Math,19,19,*,19,*,*,*,*,*,*,*,*,*,*,*
Andover School District,0010011,Andover Elementary School,0010111,4,ELA,18,18,*,18,*,*,*,*,*,*,*,*,*,*,*
Andover School District,0010011,Andover Elementary School,0010111,4,Math,18,18,*,18,*,*,*,*,*,*,*,*,*,*,*
Andover School District,0010011,Andover Elementary School,0010111,5,ELA,19,19,*,19,*,*,*,*,*,*,*,*,*,*,*
Andover School District,0010011,Andover Elementary School,0010111,5,Math,19,19,*,19,*,*,*,*,*,*,*,*,*,*,*
Andover School District,0010011,Andover Elementary School,0010111,6,ELA,20,20,100,20,*,*,*,*,10,50,*,*,*,*,2552
Andover School District,0010011,Andover Elementary School,0010111,6,Math,20,20,100,20,*,*,6,30,*,*,10,50,*,*,2577
Ansonia School District,0020011,Ansonia High School,0026111,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Ansonia School District,0020011,Ansonia High School,0026111,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Ansonia School District,0020011,Ansonia Middle School,0025111,6,ELA,170,168,98.8,168,78,46.4,54,32.1,26,15.5,10,6,36,21.4,2467
Ansonia School District,0020011,Ansonia Middle School,0025111,6,Math,170,165,97.1,165,100,60.6,49,29.7,*,*,*,*,16,9.7,2432
Ansonia School District,0020011,Ansonia Middle School,0025111,7,ELA,158,157,99.4,157,89,56.7,40,25.5,*,*,*,*,28,17.8,2460
Ansonia School District,0020011,Ansonia Middle School,0025111,7,Math,158,156,98.7,156,93,59.6,47,30.1,16,10.3,0,0,16,10.3,2457
Ansonia School District,0020011,Ansonia Middle School,0025111,8,ELA,166,163,98.2,163,67,41.1,46,28.2,42,25.8,8,4.9,50,30.7,2516
Ansonia School District,0020011,Ansonia Middle School,0025111,8,Math,166,158,95.2,158,113,71.5,30,19,*,*,*,*,15,9.5,2460
Ansonia School District,0020011,Mead School,0020311,3,ELA,*,*,*,*,54,62.1,*,*,13,14.9,*,*,*,*,*
Ansonia School District,0020011,Mead School,0020311,3,Math,*,*,*,*,46,52.9,23,26.4,*,*,*,*,18,20.7,*
Ansonia School District,0020011,Mead School,0020311,4,ELA,94,94,100,94,64,68.1,14,14.9,*,*,*,*,*,*,2390
Ansonia School District,0020011,Mead School,0020311,4,Math,94,94,100,94,63,67,*,*,9,9.6,*,*,*,*,2389
Ansonia School District,0020011,Mead School,0020311,5,ELA,95,95,100,95,53,55.8,17,17.9,15,15.8,10,10.5,25,26.3,2445
Ansonia School District,0020011,Mead School,0020311,5,Math,95,95,100,95,63,66.3,23,24.2,*,*,*,*,9,9.5,2435
Ansonia School District,0020011,Prendergast School,0020811,3,ELA,90,90,100,90,*,*,24,26.7,15,16.7,*,*,*,*,2371
Ansonia School District,0020011,Prendergast School,0020811,3,Math,90,90,100,90,48,53.3,28,31.1,*,*,*,*,14,15.6,2374
Ansonia School District,0020011,Prendergast School,0020811,4,ELA,90,90,100,90,48,53.3,22,24.4,*,*,*,*,20,22.2,2401
Ansonia School District,0020011,Prendergast School,0020811,4,Math,90,90,100,90,*,*,39,43.3,11,12.2,*,*,*,*,2422
Ansonia School District,0020011,Prendergast School,0020811,5,ELA,94,94,100,94,51,54.3,*,*,22,23.4,*,*,*,*,2436
Ansonia School District,0020011,Prendergast School,0020811,5,Math,94,94,100,94,58,61.7,29,30.9,*,*,*,*,*,*,2431
Area Cooperative Educational Services,2440014,ACES Mill Elementary School,2440214,3,ELA,16,15,*,15,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES Mill Elementary School,2440214,3,Math,16,14,*,14,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES Mill Elementary School,2440214,4,ELA,18,17,*,17,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES Mill Elementary School,2440214,4,Math,18,16,*,16,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES Mill Elementary School,2440214,5,ELA,22,20,90.9,20,16,80,*,*,*,*,0,0,*,*,2339
Area Cooperative Educational Services,2440014,ACES Mill Elementary School,2440214,5,Math,22,18,81.8,18,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES Mill Road School,2449414,6,ELA,27,27,100,27,*,*,*,*,0,0,0,0,0,0,2376
Area Cooperative Educational Services,2440014,ACES Mill Road School,2449414,6,Math,27,24,88.9,24,24,100,0,0,0,0,0,0,0,0,2307
Area Cooperative Educational Services,2440014,ACES Mill Road School,2449414,7,ELA,22,19,86.4,18,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES Mill Road School,2449414,7,Math,22,17,77.3,17,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES Mill Road School,2449414,8,ELA,39,36,92.3,36,30,83.3,*,*,*,*,0,0,*,*,2417
Area Cooperative Educational Services,2440014,ACES Mill Road School,2449414,8,Math,39,33,84.6,33,*,*,*,*,0,0,0,0,0,0,2353
Area Cooperative Educational Services,2440014,ACES at Ansonia Middle School,2440514,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES at Ansonia Middle School,2440514,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES at Ansonia Middle School,2440514,7,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES at Ansonia Middle School,2440514,7,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES at Ansonia Middle School,2440514,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES at Ansonia Middle School,2440514,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES at Chase,2445114,6,ELA,236,236,100,236,68,28.8,75,31.8,61,25.8,32,13.6,93,39.4,2511
Area Cooperative Educational Services,2440014,ACES at Chase,2445114,6,Math,236,235,99.6,235,101,43,76,32.3,28,11.9,30,12.8,58,24.7,2491
Area Cooperative Educational Services,2440014,ACES at Chase,2445114,7,ELA,228,228,100,228,67,29.4,59,25.9,72,31.6,30,13.2,102,44.7,2530
Area Cooperative Educational Services,2440014,ACES at Chase,2445114,7,Math,228,228,100,228,94,41.2,77,33.8,39,17.1,18,7.9,57,25,2499
Area Cooperative Educational Services,2440014,ACES at Chase,2445114,8,ELA,202,202,100,202,62,30.7,42,20.8,86,42.6,12,5.9,98,48.5,2546
Area Cooperative Educational Services,2440014,ACES at Chase,2445114,8,Math,202,202,100,202,110,54.5,49,24.3,28,13.9,15,7.4,43,21.3,2489
Area Cooperative Educational Services,2440014,ACES at Mead Elementary School,2440414,3,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES at Mead Elementary School,2440414,3,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES at Mead Elementary School,2440414,4,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES at Mead Elementary School,2440414,4,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES at Mead Elementary School,2440414,5,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,ACES at Mead Elementary School,2440414,5,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Center for Autism Spectrum and Development Disorders,2449614,7,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Center for Autism Spectrum and Development Disorders,2449614,7,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Village School,2449514,3,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Village School,2449514,3,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Village School,2449514,4,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Village School,2449514,4,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Village School,2449514,5,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Village School,2449514,5,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Village School,2449514,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Village School,2449514,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Village School,2449514,7,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Village School,2449514,7,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Village School,2449514,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Village School,2449514,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Whitney Academy,2449214,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Whitney Academy,2449214,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,3,ELA,47,47,100,47,20,42.6,14,29.8,*,*,*,*,13,27.7,2379
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,3,Math,47,47,100,47,25,53.2,15,31.9,*,*,*,*,7,14.9,2361
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,4,ELA,64,63,98.4,63,37,58.7,*,*,13,20.6,*,*,*,*,2406
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,4,Math,64,63,98.4,63,31,49.2,19,30.2,7,11.1,6,9.5,13,20.6,2414
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,5,ELA,60,60,100,60,31,51.7,13,21.7,10,16.7,6,10,16,26.7,2442
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,5,Math,60,60,100,60,47,78.3,7,11.7,*,*,*,*,6,10,2412
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,6,ELA,60,58,96.7,58,29,50,14,24.1,*,*,*,*,15,25.9,2470
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,6,Math,60,57,95,57,39,68.4,12,21.1,*,*,*,*,6,10.5,2427
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,7,ELA,54,54,100,54,24,44.4,*,*,16,29.6,*,*,*,*,2506
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,7,Math,54,54,100,54,32,59.3,15,27.8,*,*,*,*,7,13,2469
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,8,ELA,55,53,96.4,53,24,45.3,15,28.3,*,*,*,*,14,26.4,2505
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,8,Math,55,53,96.4,53,35,66,*,*,*,*,0,0,*,*,2458
Ashford School District,0030011,Ashford School,0030111,3,ELA,42,41,97.6,41,12,29.3,8,19.5,9,22,12,29.3,21,51.2,2426
Ashford School District,0030011,Ashford School,0030111,3,Math,42,41,97.6,41,9,22,8,19.5,12,29.3,12,29.3,24,58.5,2441
Ashford School District,0030011,Ashford School,0030111,4,ELA,46,44,95.7,44,16,36.4,*,*,*,*,14,31.8,*,*,2475
Ashford School District,0030011,Ashford School,0030111,4,Math,46,44,95.7,44,7,15.9,16,36.4,10,22.7,11,25,21,47.7,2484
Ashford School District,0030011,Ashford School,0030111,5,ELA,32,32,100,32,*,*,*,*,12,37.5,10,31.3,22,68.8,2536
Ashford School District,0030011,Ashford School,0030111,5,Math,32,32,100,32,6,18.8,13,40.6,6,18.8,7,21.9,13,40.6,2512
Ashford School District,0030011,Ashford School,0030111,6,ELA,36,36,100,36,11,30.6,*,*,14,38.9,*,*,*,*,2519
Ashford School District,0030011,Ashford School,0030111,6,Math,36,36,100,36,17,47.2,12,33.3,*,*,*,*,7,19.4,2483
Ashford School District,0030011,Ashford School,0030111,7,ELA,35,35,100,35,*,*,10,28.6,13,37.1,*,*,*,*,2565
Ashford School District,0030011,Ashford School,0030111,7,Math,35,34,97.1,34,11,32.4,9,26.5,8,23.5,6,17.6,14,41.2,2538
Ashford School District,0030011,Ashford School,0030111,8,ELA,42,42,100,42,7,16.7,15,35.7,14,33.3,6,14.3,20,47.6,2563
Ashford School District,0030011,Ashford School,0030111,8,Math,42,42,100,42,20,47.6,11,26.2,*,*,*,*,11,26.2,2525
Avon School District,0040011,Avon Middle School,0045111,7,ELA,273,269,98.5,269,30,11.2,40,14.9,96,35.7,103,38.3,199,74,2606
Avon School District,0040011,Avon Middle School,0045111,7,Math,273,269,98.5,269,44,16.4,58,21.6,54,20.1,113,42,167,62.1,2600
Avon School District,0040011,Avon Middle School,0045111,8,ELA,233,232,99.6,232,21,9.1,28,12.1,78,33.6,105,45.3,183,78.9,2639
Avon School District,0040011,Avon Middle School,0045111,8,Math,233,232,99.6,232,38,16.4,38,16.4,48,20.7,108,46.6,156,67.2,2631
Avon School District,0040011,Pine Grove School,0040411,3,ELA,105,105,100,105,18,17.1,19,18.1,27,25.7,41,39,68,64.8,2453
Avon School District,0040011,Pine Grove School,0040411,3,Math,105,105,100,105,18,17.1,30,28.6,31,29.5,26,24.8,57,54.3,2442
Avon School District,0040011,Pine Grove School,0040411,4,ELA,121,121,100,121,20,16.5,23,19,30,24.8,48,39.7,78,64.5,2503
Avon School District,0040011,Pine Grove School,0040411,4,Math,121,121,100,121,16,13.2,32,26.4,42,34.7,31,25.6,73,60.3,2500
Avon School District,0040011,Roaring Brook School,0040311,3,ELA,117,116,99.1,116,10,8.6,21,18.1,25,21.6,60,51.7,85,73.3,2481
Avon School District,0040011,Roaring Brook School,0040311,3,Math,117,116,99.1,116,8,6.9,26,22.4,47,40.5,35,30.2,82,70.7,2468
Avon School District,0040011,Roaring Brook School,0040311,4,ELA,77,77,100,77,12,15.6,11,14.3,15,19.5,39,50.6,54,70.1,2515
Avon School District,0040011,Roaring Brook School,0040311,4,Math,77,77,100,77,10,13,13,16.9,23,29.9,31,40.3,54,70.1,2517
Avon School District,0040011,Thompson Brook School,0040511,5,ELA,249,249,100,249,27,10.8,32,12.9,80,32.1,110,44.2,190,76.3,2560
Avon School District,0040011,Thompson Brook School,0040511,5,Math,249,249,100,249,33,13.3,60,24.1,76,30.5,80,32.1,156,62.7,2542
Avon School District,0040011,Thompson Brook School,0040511,6,ELA,236,236,100,236,30,12.7,42,17.8,88,37.3,76,32.2,164,69.5,2568
Avon School District,0040011,Thompson Brook School,0040511,6,Math,236,236,100,236,36,15.3,58,24.6,46,19.5,96,40.7,142,60.2,2571
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,3,ELA,23,23,100,23,7,30.4,*,*,7,30.4,*,*,*,*,2429
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,3,Math,23,23,100,23,*,*,*,*,6,26.1,7,30.4,13,56.5,2444
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,4,ELA,28,28,100,28,*,*,*,*,8,28.6,13,46.4,21,75,2518
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,4,Math,28,28,100,28,*,*,9,32.1,*,*,10,35.7,*,*,2506
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,5,ELA,24,24,100,24,*,*,*,*,10,41.7,*,*,*,*,2519
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,5,Math,24,24,100,24,*,*,11,45.8,*,*,*,*,*,*,2524
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,6,ELA,30,30,100,30,*,*,*,*,9,30,10,33.3,19,63.3,2574
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,6,Math,30,30,100,30,*,*,9,30,10,33.3,*,*,*,*,2557
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,4,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,4,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,5,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,5,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,6,ELA,195,194,99.5,194,21,10.8,49,25.3,78,40.2,46,23.7,124,63.9,2557
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,6,Math,195,194,99.5,194,26,13.4,58,29.9,52,26.8,58,29.9,110,56.7,2563
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,7,ELA,196,194,99,194,38,19.6,52,26.8,73,37.6,31,16,104,53.6,2560
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,7,Math,196,192,98,192,42,21.9,54,28.1,43,22.4,53,27.6,96,50,2562
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,8,ELA,209,200,95.7,200,47,23.5,47,23.5,78,39,28,14,106,53,2562
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,8,Math,209,195,93.3,195,55,28.2,57,29.2,41,21,42,21.5,83,42.6,2562
Berlin School District,0070011,Emma Hart Willard School,0070411,3,ELA,71,71,100,71,23,32.4,17,23.9,10,14.1,21,29.6,31,43.7,2418
Berlin School District,0070011,Emma Hart Willard School,0070411,3,Math,71,71,100,71,17,23.9,22,31,17,23.9,15,21.1,32,45.1,2420
Berlin School District,0070011,Emma Hart Willard School,0070411,4,ELA,60,59,98.3,59,13,22,13,22,17,28.8,16,27.1,33,55.9,2484
Berlin School District,0070011,Emma Hart Willard School,0070411,4,Math,60,59,98.3,59,*,*,19,32.2,21,35.6,*,*,*,*,2485
Berlin School District,0070011,Emma Hart Willard School,0070411,5,ELA,65,64,98.5,64,13,20.3,9,14.1,22,34.4,20,31.3,42,65.6,2529
Berlin School District,0070011,Emma Hart Willard School,0070411,5,Math,65,64,98.5,64,15,23.4,19,29.7,11,17.2,19,29.7,30,46.9,2525
Berlin School District,0070011,Mary E. Griswold School,0070511,3,ELA,82,81,98.8,81,18,22.2,13,16,25,30.9,25,30.9,50,61.7,2437
Berlin School District,0070011,Mary E. Griswold School,0070511,3,Math,82,81,98.8,81,15,18.5,19,23.5,32,39.5,15,18.5,47,58,2445
Berlin School District,0070011,Mary E. Griswold School,0070511,4,ELA,89,88,98.9,88,8,9.1,21,23.9,31,35.2,28,31.8,59,67,2505
Berlin School District,0070011,Mary E. Griswold School,0070511,4,Math,89,88,98.9,88,*,*,*,*,34,38.6,25,28.4,59,67,2511
Berlin School District,0070011,Mary E. Griswold School,0070511,5,ELA,82,79,96.3,79,11,13.9,10,12.7,43,54.4,15,19,58,73.4,2530
Berlin School District,0070011,Mary E. Griswold School,0070511,5,Math,82,79,96.3,79,26,32.9,26,32.9,*,*,*,*,27,34.2,2491
Berlin School District,0070011,Richard D. Hubbard School,0070111,3,ELA,32,30,93.8,30,*,*,*,*,*,*,16,53.3,*,*,2467
Berlin School District,0070011,Richard D. Hubbard School,0070111,3,Math,32,30,93.8,30,*,*,*,*,10,33.3,11,36.7,21,70,2460
Berlin School District,0070011,Richard D. Hubbard School,0070111,4,ELA,41,41,100,41,7,17.1,*,*,*,*,25,61,*,*,2528
Berlin School District,0070011,Richard D. Hubbard School,0070111,4,Math,41,41,100,41,*,*,*,*,9,22,25,61,34,82.9,2561
Berlin School District,0070011,Richard D. Hubbard School,0070111,5,ELA,31,31,100,31,*,*,*,*,11,35.5,11,35.5,22,71,2552
Berlin School District,0070011,Richard D. Hubbard School,0070111,5,Math,31,31,100,31,*,*,9,29,*,*,11,35.5,*,*,2548
Bethany School District,0080011,Bethany Community School,0080111,3,ELA,60,60,100,60,*,*,*,*,14,23.3,30,50,44,73.3,2482
Bethany School District,0080011,Bethany Community School,0080111,3,Math,60,60,100,60,*,*,*,*,26,43.3,19,31.7,45,75,2469
Bethany School District,0080011,Bethany Community School,0080111,4,ELA,60,60,100,60,9,15,9,15,20,33.3,22,36.7,42,70,2510
Bethany School District,0080011,Bethany Community School,0080111,4,Math,60,60,100,60,6,10,15,25,18,30,21,35,39,65,2513
Bethany School District,0080011,Bethany Community School,0080111,5,ELA,44,44,100,44,*,*,11,25,*,*,19,43.2,*,*,2550
