District,District Code,School,School Code,Grade,Subject,Total Number of Students,Total Number Tested,Smarter Balanced Participation Rate,Total Number with Scored Tests,Count,%,Count,%,Count,%,Count,%,Count,%,Average VSS
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,3,ELA,90,90,100,90,28,31.1,22,24.4,21,23.3,19,21.1,40,44.4,2415
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,3,Math,90,90,100,90,33,36.7,24,26.7,21,23.3,12,13.3,33,36.7,2408
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,4,ELA,90,89,98.9,89,40,44.9,18,20.2,18,20.2,13,14.6,31,34.8,2437
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,4,Math,90,89,98.9,89,33,37.1,31,34.8,*,*,*,*,25,28.1,2434
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,5,ELA,84,84,100,84,29,34.5,26,31,20,23.8,9,10.7,29,34.5,2478
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,5,Math,84,83,98.8,83,37,44.6,35,42.2,*,*,*,*,11,13.3,2454
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,6,ELA,91,91,100,91,19,20.9,32,35.2,27,29.7,13,14.3,40,44,2521
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,6,Math,91,89,97.8,87,41,47.1,*,*,22,25.3,*,*,*,*,2487
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,7,ELA,91,90,98.9,90,24,26.7,24,26.7,34,37.8,8,8.9,42,46.7,2541
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,7,Math,91,88,96.7,88,48,54.5,26,29.5,*,*,*,*,14,15.9,2479
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,8,ELA,90,87,96.7,87,15,17.2,14,16.1,36,41.4,22,25.3,58,66.7,2598
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,8,Math,90,85,94.4,85,32,37.6,23,27.1,20,23.5,10,11.8,30,35.3,2523
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,3,ELA,94,94,100,94,21,22.3,30,31.9,24,25.5,19,20.2,43,45.7,2420
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,3,Math,94,94,100,94,31,33,32,34,24,25.5,7,7.4,31,33,2409
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,4,ELA,92,92,100,92,40,43.5,27,29.3,14,15.2,11,12,25,27.2,2428
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,4,Math,92,92,100,92,29,31.5,37,40.2,*,*,*,*,26,28.3,2443
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,5,ELA,82,82,100,82,43,52.4,15,18.3,12,14.6,12,14.6,24,29.3,2455
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,5,Math,82,79,96.3,79,41,51.9,27,34.2,11,13.9,0,0,11,13.9,2443
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,6,ELA,94,94,100,94,28,29.8,29,30.9,28,29.8,9,9.6,37,39.4,2506
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,6,Math,94,92,97.9,92,43,46.7,28,30.4,*,*,*,*,21,22.8,2476
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,7,ELA,87,86,98.9,86,17,19.8,26,30.2,37,43,6,7,43,50,2541
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,7,Math,87,80,92,80,35,43.8,23,28.8,12,15,10,12.5,22,27.5,2504
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,8,ELA,94,94,100,94,18,19.1,27,28.7,38,40.4,11,11.7,49,52.1,2564
