District,District Code,School,School Code,Grade,Subject,Total Number of Students,Total Number Tested,Smarter Balanced Participation Rate,Total Number with Scored Tests,Count,%,Count,%,Count,%,Count,%,Count,%,Average VSS
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,3,ELA,85,83,97.6,83,*,*,*,*,20,24.1,48,57.8,68,81.9,2495
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,3,Math,85,83,97.6,83,*,*,*,*,20,24.1,54,65.1,74,89.2,2514
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,4,ELA,89,89,100,89,*,*,*,*,19,21.3,44,49.4,63,70.8,2520
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,4,Math,89,89,100,89,*,*,*,*,28,31.5,45,50.6,73,82,2535
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,5,ELA,95,92,96.8,92,36,39.1,21,22.8,26,28.3,9,9.8,35,38,2470
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,5,Math,95,92,96.8,92,36,39.1,28,30.4,11,12,17,18.5,28,30.4,2483
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,6,ELA,94,94,100,94,41,43.6,19,20.2,23,24.5,11,11.7,34,36.2,2492
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,6,Math,94,94,100,94,41,43.6,32,34,12,12.8,9,9.6,21,22.3,2479
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,7,ELA,89,88,98.9,88,31,35.2,*,*,28,31.8,*,*,*,*,2509
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,7,Math,89,88,98.9,88,37,42,29,33,13,14.8,9,10.2,22,25,2500
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,8,ELA,84,84,100,84,30,35.7,26,31,*,*,*,*,28,33.3,2527
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,8,Math,84,84,100,84,34,40.5,24,28.6,17,20.2,9,10.7,26,31,2536
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,3,ELA,83,83,100,83,18,21.7,9,10.8,19,22.9,37,44.6,56,67.5,2464
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,3,Math,83,83,100,83,*,*,*,*,22,26.5,41,49.4,63,75.9,2490
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,4,ELA,87,87,100,87,10,11.5,13,14.9,26,29.9,38,43.7,64,73.6,2513
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,4,Math,87,87,100,87,*,*,*,*,38,43.7,31,35.6,69,79.3,2529
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,5,ELA,134,134,100,134,55,41,31,23.1,29,21.6,19,14.2,48,35.8,2467
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,5,Math,134,133,99.3,133,70,52.6,26,19.5,25,18.8,12,9,37,27.8,2456
