District,District Code,School,School Code,Grade,Subject,Total Number of Students,Total Number Tested,Smarter Balanced Participation Rate,Total Number with Scored Tests,Count,%,Count,%,Count,%,Count,%,Count,%,Average VSS
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,6,ELA,121,120,99.2,120,25,20.8,43,35.8,39,32.5,13,10.8,52,43.3,2517
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,6,Math,121,120,99.2,119,41,34.5,39,32.8,27,22.7,12,10.1,39,32.8,2500
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,7,ELA,134,133,99.3,133,42,31.6,34,25.6,42,31.6,15,11.3,57,42.9,2530
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,7,Math,134,133,99.3,133,62,46.6,33,24.8,22,16.5,16,12,38,28.6,2498
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,8,ELA,57,57,100,57,7,12.3,11,19.3,31,54.4,8,14,39,68.4,2583
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,8,Math,57,57,100,57,23,40.4,16,28.1,11,19.3,7,12.3,18,31.6,2530
Amistad Academy District,2790013,Amistad Academy,2795113,3,ELA,89,88,98.9,88,34,38.6,25,28.4,13,14.8,16,18.2,29,33,2407
Amistad Academy District,2790013,Amistad Academy,2795113,3,Math,89,88,98.9,88,23,26.1,19,21.6,34,38.6,12,13.6,46,52.3,2423
Amistad Academy District,2790013,Amistad Academy,2795113,4,ELA,89,88,98.9,88,17,19.3,26,29.5,18,20.5,27,30.7,45,51.1,2480
Amistad Academy District,2790013,Amistad Academy,2795113,4,Math,89,88,98.9,88,15,17,33,37.5,23,26.1,17,19.3,40,45.5,2476
Amistad Academy District,2790013,Amistad Academy,2795113,5,ELA,94,94,100,94,27,28.7,21,22.3,23,24.5,23,24.5,46,48.9,2510
Amistad Academy District,2790013,Amistad Academy,2795113,5,Math,94,94,100,94,24,25.5,33,35.1,18,19.1,19,20.2,37,39.4,2511
Amistad Academy District,2790013,Amistad Academy,2795113,6,ELA,90,90,100,90,18,20,27,30,34,37.8,11,12.2,45,50,2521
Amistad Academy District,2790013,Amistad Academy,2795113,6,Math,90,90,100,90,15,16.7,26,28.9,26,28.9,23,25.6,49,54.4,2547
Amistad Academy District,2790013,Amistad Academy,2795113,7,ELA,89,87,97.8,87,19,21.8,26,29.9,34,39.1,8,9.2,42,48.3,2536
Amistad Academy District,2790013,Amistad Academy,2795113,7,Math,89,87,97.8,87,19,21.8,28,32.2,22,25.3,18,20.7,40,46,2547
Amistad Academy District,2790013,Amistad Academy,2795113,8,ELA,84,84,100,84,21,25,22,26.2,33,39.3,8,9.5,41,48.8,2553
Amistad Academy District,2790013,Amistad Academy,2795113,8,Math,84,84,100,84,18,21.4,15,17.9,27,32.1,24,28.6,51,60.7,2580
Andover School District,0010011,Andover Elementary School,0010111,3,ELA,26,26,100,26,*,*,6,23.1,*,*,6,23.1,*,*,2449
Andover School District,0010011,Andover Elementary School,0010111,3,Math,26,26,100,26,*,*,*,*,11,42.3,7,26.9,18,69.2,2464
Andover School District,0010011,Andover Elementary School,0010111,4,ELA,28,28,100,28,*,*,6,21.4,*,*,11,39.3,*,*,2499
Andover School District,0010011,Andover Elementary School,0010111,4,Math,28,28,100,28,*,*,*,*,11,39.3,9,32.1,20,71.4,2516
Andover School District,0010011,Andover Elementary School,0010111,5,ELA,38,38,100,38,*,*,*,*,17,44.7,14,36.8,31,81.6,2561
Andover School District,0010011,Andover Elementary School,0010111,5,Math,38,38,100,38,*,*,*,*,13,34.2,11,28.9,24,63.2,2548
Andover School District,0010011,Andover Elementary School,0010111,6,ELA,43,42,97.7,42,*,*,*,*,20,47.6,14,33.3,34,81,2601
Andover School District,0010011,Andover Elementary School,0010111,6,Math,43,42,97.7,42,*,*,*,*,15,35.7,19,45.2,34,81,2608
Ansonia School District,0020011,Ansonia Middle School,0025111,7,ELA,180,177,98.3,177,51,28.8,47,26.6,64,36.2,15,8.5,79,44.6,2528
Ansonia School District,0020011,Ansonia Middle School,0025111,7,Math,180,173,96.1,173,69,39.9,57,32.9,36,20.8,11,6.4,47,27.2,2499
Ansonia School District,0020011,Ansonia Middle School,0025111,8,ELA,169,163,96.4,163,63,38.7,63,38.7,*,*,*,*,37,22.7,2506
Ansonia School District,0020011,Ansonia Middle School,0025111,8,Math,169,159,94.1,159,107,67.3,33,20.8,12,7.5,7,4.4,19,11.9,2466
Ansonia School District,0020011,Mead School,0020311,3,ELA,72,71,98.6,71,17,23.9,19,26.8,23,32.4,12,16.9,35,49.3,2429
Ansonia School District,0020011,Mead School,0020311,3,Math,72,71,98.6,71,15,21.1,26,36.6,22,31,8,11.3,30,42.3,2424
Ansonia School District,0020011,Mead School,0020311,4,ELA,90,90,100,90,51,56.7,16,17.8,16,17.8,7,7.8,23,25.6,2415
Ansonia School District,0020011,Mead School,0020311,4,Math,90,90,100,90,32,35.6,35,38.9,*,*,*,*,23,25.6,2438
Ansonia School District,0020011,Mead School,0020311,5,ELA,83,83,100,83,33,39.8,21,25.3,21,25.3,8,9.6,29,34.9,2465
Ansonia School District,0020011,Mead School,0020311,5,Math,83,83,100,83,43,51.8,27,32.5,*,*,*,*,13,15.7,2455
Ansonia School District,0020011,Mead School,0020311,6,ELA,86,86,100,86,33,38.4,30,34.9,*,*,*,*,23,26.7,2480
Ansonia School District,0020011,Mead School,0020311,6,Math,86,86,100,86,34,39.5,38,44.2,*,*,*,*,14,16.3,2472
Ansonia School District,0020011,Prendergast School,0020811,3,ELA,93,88,94.6,88,28,31.8,25,28.4,23,26.1,12,13.6,35,39.8,2406
Ansonia School District,0020011,Prendergast School,0020811,3,Math,93,86,92.5,86,28,32.6,30,34.9,21,24.4,7,8.1,28,32.6,2408
Ansonia School District,0020011,Prendergast School,0020811,4,ELA,87,85,97.7,85,32,37.6,29,34.1,16,18.8,8,9.4,24,28.2,2434
Ansonia School District,0020011,Prendergast School,0020811,4,Math,87,85,97.7,85,*,*,40,47.1,22,25.9,*,*,*,*,2451
Ansonia School District,0020011,Prendergast School,0020811,5,ELA,84,83,98.8,83,37,44.6,22,26.5,17,20.5,7,8.4,24,28.9,2457
Ansonia School District,0020011,Prendergast School,0020811,5,Math,84,83,98.8,83,42,50.6,27,32.5,*,*,*,*,14,16.9,2449
Ansonia School District,0020011,Prendergast School,0020811,6,ELA,85,85,100,85,23,27.1,26,30.6,25,29.4,11,12.9,36,42.4,2513
Ansonia School District,0020011,Prendergast School,0020811,6,Math,85,84,98.8,84,35,41.7,25,29.8,14,16.7,10,11.9,24,28.6,2493
Area Cooperative Educational Services,2440014,Mill Academy,2449414,3,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Mill Academy,2449414,3,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Mill Academy,2449414,4,ELA,20,19,95,19,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Mill Academy,2449414,4,Math,20,19,95,19,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Mill Academy,2449414,5,ELA,30,30,100,30,26,86.7,*,*,0,0,*,*,*,*,2368
Area Cooperative Educational Services,2440014,Mill Academy,2449414,5,Math,30,29,96.7,29,29,100,0,0,0,0,0,0,0,0,2348
Area Cooperative Educational Services,2440014,Mill Academy,2449414,6,ELA,21,19,90.5,19,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Mill Academy,2449414,6,Math,21,19,90.5,19,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Mill Academy,2449414,7,ELA,27,26,96.3,26,18,69.2,*,*,*,*,0,0,*,*,2433
Area Cooperative Educational Services,2440014,Mill Academy,2449414,7,Math,27,27,100,27,23,85.2,*,*,*,*,0,0,*,*,2381
Area Cooperative Educational Services,2440014,Mill Academy,2449414,8,ELA,21,19,90.5,19,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Mill Academy,2449414,8,Math,21,19,90.5,19,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,6,ELA,238,238,100,238,74,31.1,67,28.2,66,27.7,31,13,97,40.8,2505
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,6,Math,238,238,100,238,90,37.8,78,32.8,40,16.8,30,12.6,70,29.4,2499
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,7,ELA,246,246,100,246,77,31.3,55,22.4,83,33.7,31,12.6,114,46.3,2534
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,7,Math,246,246,100,246,105,42.7,63,25.6,40,16.3,38,15.4,78,31.7,2513
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,8,ELA,235,235,100,235,65,27.7,67,28.5,76,32.3,27,11.5,103,43.8,2550
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,8,Math,235,235,100,235,85,36.2,71,30.2,47,20,32,13.6,79,33.6,2540
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,3,ELA,73,70,95.9,70,25,35.7,20,28.6,16,22.9,9,12.9,25,35.7,2405
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,3,Math,73,70,95.9,70,27,38.6,*,*,21,30,*,*,*,*,2393
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,4,ELA,72,71,98.6,71,33,46.5,13,18.3,14,19.7,11,15.5,25,35.2,2438
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,4,Math,72,71,98.6,71,34,47.9,21,29.6,*,*,*,*,16,22.5,2416
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,5,ELA,71,69,97.2,69,24,34.8,17,24.6,18,26.1,10,14.5,28,40.6,2482
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,5,Math,71,69,97.2,69,44,63.8,13,18.8,*,*,*,*,12,17.4,2440
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,6,ELA,67,66,98.5,66,*,*,24,36.4,22,33.3,*,*,*,*,2509
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,6,Math,67,66,98.5,66,32,48.5,28,42.4,6,9.1,0,0,6,9.1,2466
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,7,ELA,69,69,100,69,14,20.3,20,29,24,34.8,11,15.9,35,50.7,2553
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,7,Math,69,69,100,69,25,36.2,24,34.8,*,*,*,*,20,29,2505
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,8,ELA,61,60,98.4,60,13,21.7,18,30,20,33.3,9,15,29,48.3,2562
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,8,Math,61,60,98.4,60,29,48.3,20,33.3,*,*,*,*,11,18.3,2511
Ashford School District,0030011,Ashford School,0030111,3,ELA,45,45,100,45,12,26.7,*,*,*,*,23,51.1,*,*,2451
Ashford School District,0030011,Ashford School,0030111,3,Math,45,45,100,45,9,20,9,20,16,35.6,11,24.4,27,60,2456
Ashford School District,0030011,Ashford School,0030111,4,ELA,31,30,96.8,30,8,26.7,*,*,*,*,9,30,*,*,2490
Ashford School District,0030011,Ashford School,0030111,4,Math,31,30,96.8,30,*,*,10,33.3,10,33.3,*,*,*,*,2478
Ashford School District,0030011,Ashford School,0030111,5,ELA,42,42,100,42,6,14.3,10,23.8,9,21.4,17,40.5,26,61.9,2532
Ashford School District,0030011,Ashford School,0030111,5,Math,42,42,100,42,15,35.7,14,33.3,*,*,*,*,13,31,2482
Ashford School District,0030011,Ashford School,0030111,6,ELA,41,40,97.6,40,*,*,*,*,15,37.5,17,42.5,32,80,2593
Ashford School District,0030011,Ashford School,0030111,6,Math,41,40,97.6,40,*,*,17,42.5,13,32.5,*,*,*,*,2532
Ashford School District,0030011,Ashford School,0030111,7,ELA,40,40,100,40,12,30,12,30,*,*,*,*,16,40,2536
Ashford School District,0030011,Ashford School,0030111,7,Math,40,40,100,40,15,37.5,10,25,7,17.5,8,20,15,37.5,2521
Ashford School District,0030011,Ashford School,0030111,8,ELA,50,50,100,50,*,*,17,34,24,48,*,*,*,*,2583
Ashford School District,0030011,Ashford School,0030111,8,Math,50,50,100,50,12,24,17,34,14,28,7,14,21,42,2566
Avon School District,0040011,Avon Middle School,0045111,7,ELA,277,277,100,277,13,4.7,40,14.4,109,39.4,115,41.5,224,80.9,2624
Avon School District,0040011,Avon Middle School,0045111,7,Math,277,277,100,277,18,6.5,45,16.2,79,28.5,135,48.7,214,77.3,2626
Avon School District,0040011,Avon Middle School,0045111,8,ELA,273,273,100,273,12,4.4,28,10.3,116,42.5,117,42.9,233,85.3,2647
Avon School District,0040011,Avon Middle School,0045111,8,Math,273,273,100,273,19,7,30,11,54,19.8,170,62.3,224,82.1,2668
Avon School District,0040011,Pine Grove School,0040411,3,ELA,128,128,100,128,13,10.2,17,13.3,28,21.9,70,54.7,98,76.6,2488
Avon School District,0040011,Pine Grove School,0040411,3,Math,128,128,100,128,7,5.5,25,19.5,44,34.4,52,40.6,96,75,2492
Avon School District,0040011,Pine Grove School,0040411,4,ELA,132,132,100,132,13,9.8,23,17.4,27,20.5,69,52.3,96,72.7,2527
Avon School District,0040011,Pine Grove School,0040411,4,Math,132,132,100,132,6,4.5,35,26.5,36,27.3,55,41.7,91,68.9,2526
Avon School District,0040011,Roaring Brook School,0040311,3,ELA,102,101,99,101,*,*,*,*,25,24.8,59,58.4,84,83.2,2499
Avon School District,0040011,Roaring Brook School,0040311,3,Math,101,100,99,100,7,7,14,14,33,33,46,46,79,79,2498
Avon School District,0040011,Roaring Brook School,0040311,4,ELA,119,119,100,119,*,*,*,*,36,30.3,60,50.4,96,80.7,2534
Avon School District,0040011,Roaring Brook School,0040311,4,Math,119,119,100,119,9,7.6,23,19.3,39,32.8,48,40.3,87,73.1,2526
Avon School District,0040011,Thompson Brook School,0040511,5,ELA,221,221,100,221,18,8.1,17,7.7,66,29.9,120,54.3,186,84.2,2580
Avon School District,0040011,Thompson Brook School,0040511,5,Math,221,221,100,221,21,9.5,48,21.7,52,23.5,100,45.2,152,68.8,2563
Avon School District,0040011,Thompson Brook School,0040511,6,ELA,278,278,100,278,19,6.8,50,18,89,32,120,43.2,209,75.2,2593
Avon School District,0040011,Thompson Brook School,0040511,6,Math,278,278,100,278,29,10.4,63,22.7,77,27.7,109,39.2,186,66.9,2582
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,3,ELA,*,*,*,*,*,*,8,24.2,*,*,10,30.3,*,*,*
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,3,Math,*,*,*,*,*,*,*,*,8,24.2,10,30.3,18,54.5,*
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,4,ELA,38,36,94.7,36,*,*,9,25,15,41.7,*,*,*,*,2499
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,4,Math,38,35,92.1,35,*,*,10,28.6,14,40,*,*,*,*,2463
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,5,ELA,45,42,93.3,42,*,*,16,38.1,*,*,12,28.6,*,*,2538
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,5,Math,45,42,93.3,42,15,35.7,18,42.9,*,*,*,*,*,*,2477
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,6,ELA,48,45,93.8,45,*,*,*,*,17,37.8,15,33.3,32,71.1,2569
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,6,Math,48,45,93.8,45,9,20,13,28.9,13,28.9,10,22.2,23,51.1,2539
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,5,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,5,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,6,ELA,248,247,99.6,247,25,10.1,55,22.3,107,43.3,60,24.3,167,67.6,2564
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,6,Math,248,247,99.6,247,32,13,56,22.7,77,31.2,82,33.2,159,64.4,2570
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,7,ELA,215,214,99.5,214,27,12.6,55,25.7,93,43.5,39,18.2,132,61.7,2576
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,7,Math,215,214,99.5,214,32,15,49,22.9,68,31.8,65,30.4,133,62.1,2583
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,8,ELA,251,251,100,251,22,8.8,60,23.9,116,46.2,53,21.1,169,67.3,2601
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,8,Math,251,251,100,251,46,18.3,57,22.7,66,26.3,82,32.7,148,59,2598
Berlin School District,0070011,Emma Hart Willard School,0070411,3,ELA,74,74,100,73,14,19.2,18,24.7,15,20.5,26,35.6,41,56.2,2443
Berlin School District,0070011,Emma Hart Willard School,0070411,3,Math,74,74,100,73,13,17.8,16,21.9,15,20.5,29,39.7,44,60.3,2465
Berlin School District,0070011,Emma Hart Willard School,0070411,4,ELA,81,81,100,81,12,14.8,18,22.2,23,28.4,28,34.6,51,63,2494
Berlin School District,0070011,Emma Hart Willard School,0070411,4,Math,81,81,100,81,6,7.4,27,33.3,28,34.6,20,24.7,48,59.3,2503
Berlin School District,0070011,Emma Hart Willard School,0070411,5,ELA,59,59,100,59,10,16.9,11,18.6,22,37.3,16,27.1,38,64.4,2525
Berlin School District,0070011,Emma Hart Willard School,0070411,5,Math,59,59,100,59,11,18.6,19,32.2,17,28.8,12,20.3,29,49.2,2525
Berlin School District,0070011,Mary E. Griswold School,0070511,3,ELA,69,65,94.2,65,10,15.4,13,20,19,29.2,23,35.4,42,64.6,2456
Berlin School District,0070011,Mary E. Griswold School,0070511,3,Math,69,65,94.2,65,*,*,*,*,27,41.5,21,32.3,48,73.8,2468
Berlin School District,0070011,Mary E. Griswold School,0070511,4,ELA,92,92,100,92,7,7.6,19,20.7,27,29.3,39,42.4,66,71.7,2517
Berlin School District,0070011,Mary E. Griswold School,0070511,4,Math,92,92,100,92,*,*,30,32.6,*,*,33,35.9,*,*,2516
Berlin School District,0070011,Mary E. Griswold School,0070511,5,ELA,92,89,96.7,89,15,16.9,25,28.1,26,29.2,23,25.8,49,55.1,2519
Berlin School District,0070011,Mary E. Griswold School,0070511,5,Math,92,89,96.7,89,20,22.5,24,27,29,32.6,16,18,45,50.6,2516
Berlin School District,0070011,Richard D. Hubbard School,0070111,3,ELA,46,46,100,46,*,*,10,21.7,*,*,23,50,*,*,2459
Berlin School District,0070011,Richard D. Hubbard School,0070111,3,Math,46,46,100,46,13,28.3,6,13,13,28.3,14,30.4,27,58.7,2442
Berlin School District,0070011,Richard D. Hubbard School,0070111,4,ELA,37,37,100,36,*,*,*,*,*,*,17,47.2,*,*,2524
Berlin School District,0070011,Richard D. Hubbard School,0070111,4,Math,37,37,100,36,*,*,*,*,10,27.8,22,61.1,32,88.9,2551
Berlin School District,0070011,Richard D. Hubbard School,0070111,5,ELA,41,40,97.6,40,*,*,*,*,18,45,12,30,30,75,2538
Berlin School District,0070011,Richard D. Hubbard School,0070111,5,Math,41,40,97.6,40,8,20,13,32.5,11,27.5,8,20,19,47.5,2518
Bethany School District,0080011,Bethany Community School,0080111,3,ELA,54,52,96.3,52,*,*,*,*,18,34.6,17,32.7,35,67.3,2464
Bethany School District,0080011,Bethany Community School,0080111,3,Math,54,51,94.4,51,*,*,*,*,18,35.3,17,33.3,35,68.6,2472
Bethany School District,0080011,Bethany Community School,0080111,4,ELA,57,56,98.2,56,11,19.6,11,19.6,16,28.6,18,32.1,34,60.7,2497
Bethany School District,0080011,Bethany Community School,0080111,4,Math,57,56,98.2,56,*,*,17,30.4,19,33.9,*,*,*,*,2508
Bethany School District,0080011,Bethany Community School,0080111,5,ELA,56,56,100,56,8,14.3,9,16.1,20,35.7,19,33.9,39,69.6,2543
Bethany School District,0080011,Bethany Community School,0080111,5,Math,56,56,100,56,8,14.3,9,16.1,20,35.7,19,33.9,39,69.6,2547
Bethany School District,0080011,Bethany Community School,0080111,6,ELA,59,57,96.6,57,*,*,*,*,30,52.6,15,26.3,45,78.9,2582
Bethany School District,0080011,Bethany Community School,0080111,6,Math,59,57,96.6,57,*,*,*,*,24,42.1,19,33.3,43,75.4,2587
Bethel School District,0090011,Anna H. Rockwell School,0090411,3,ELA,103,103,100,103,21,20.4,20,19.4,23,22.3,39,37.9,62,60.2,2453
Bethel School District,0090011,Anna H. Rockwell School,0090411,3,Math,102,102,100,102,14,13.7,23,22.5,36,35.3,29,28.4,65,63.7,2460
Bethel School District,0090011,Bethel Middle School,0095111,6,ELA,230,227,98.7,227,32,14.1,48,21.1,96,42.3,51,22.5,147,64.8,2554
Bethel School District,0090011,Bethel Middle School,0095111,6,Math,230,225,97.8,225,43,19.1,70,31.1,60,26.7,52,23.1,112,49.8,2543
Bethel School District,0090011,Bethel Middle School,0095111,7,ELA,195,195,100,195,13,6.7,35,17.9,90,46.2,57,29.2,147,75.4,2601
Bethel School District,0090011,Bethel Middle School,0095111,7,Math,195,195,100,195,27,13.8,63,32.3,50,25.6,55,28.2,105,53.8,2576
Bethel School District,0090011,Bethel Middle School,0095111,8,ELA,246,246,100,246,36,14.6,62,25.2,100,40.7,48,19.5,148,60.2,2590
Bethel School District,0090011,Bethel Middle School,0095111,8,Math,246,246,100,246,62,25.2,74,30.1,60,24.4,50,20.3,110,44.7,2571
Bethel School District,0090011,Frank A. Berry School,0090111,3,ELA,123,123,100,123,12,9.8,25,20.3,36,29.3,50,40.7,86,69.9,2469
Bethel School District,0090011,Frank A. Berry School,0090111,3,Math,123,123,100,123,8,6.5,32,26,51,41.5,32,26,83,67.5,2466
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,4,ELA,265,264,99.6,264,39,14.8,45,17,81,30.7,99,37.5,180,68.2,2503
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,4,Math,264,261,98.9,261,23,8.8,63,24.1,78,29.9,97,37.2,175,67,2517
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,5,ELA,216,215,99.5,215,27,12.6,39,18.1,88,40.9,61,28.4,149,69.3,2535
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,5,Math,216,215,99.5,215,38,17.7,74,34.4,57,26.5,46,21.4,103,47.9,2524
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,5,ELA,117,115,98.3,115,45,39.1,28,24.3,31,27,11,9.6,42,36.5,2473
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,5,Math,117,115,98.3,115,62,53.9,37,32.2,10,8.7,6,5.2,16,13.9,2451
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,6,ELA,112,112,100,112,18,16.1,26,23.2,51,45.5,17,15.2,68,60.7,2540
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,6,Math,112,112,100,112,21,18.8,36,32.1,35,31.3,20,17.9,55,49.1,2534
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,7,ELA,106,105,99.1,105,35,33.3,33,31.4,29,27.6,8,7.6,37,35.2,2524
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,7,Math,106,105,99.1,105,45,42.9,38,36.2,*,*,*,*,22,21,2490
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,8,ELA,101,101,100,101,32,31.7,27,26.7,33,32.7,9,8.9,42,41.6,2549
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,8,Math,101,101,100,101,38,37.6,31,30.7,26,25.7,6,5.9,32,31.7,2530
Bloomfield School District,0110011,Global Experience Magnet School,0116311,6,ELA,33,33,100,33,10,30.3,*,*,11,33.3,*,*,*,*,2521
Bloomfield School District,0110011,Global Experience Magnet School,0116311,6,Math,33,33,100,33,12,36.4,11,33.3,*,*,*,*,10,30.3,2489
Bloomfield School District,0110011,Global Experience Magnet School,0116311,7,ELA,31,31,100,31,11,35.5,12,38.7,*,*,*,*,8,25.8,2515
