District,District Code,School,School Code,Grade,Subject,Total Number of Students,Total Number Tested,Smarter Balanced Participation Rate,Total Number with Scored Tests,Count,%,Count,%,Count,%,Count,%,Count,%,Average VSS
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,3,ELA,90,89,98.9,89,9,10.1,20,22.5,24,27,36,40.4,60,67.4,2472
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,3,Math,90,89,98.9,89,*,*,*,*,30,33.7,40,44.9,70,78.7,2488
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,4,ELA,88,88,100,88,8,9.1,10,11.4,27,30.7,43,48.9,70,79.5,2529
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,4,Math,88,88,100,88,*,*,*,*,33,37.5,31,35.2,64,72.7,2519
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,5,ELA,93,92,98.9,92,9,9.8,15,16.3,33,35.9,35,38,68,73.9,2552
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,5,Math,92,91,98.9,91,12,13.2,28,30.8,18,19.8,33,36.3,51,56,2540
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,6,ELA,96,96,100,96,24,25,24,25,27,28.1,21,21.9,48,50,2533
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,6,Math,96,96,100,96,33,34.4,26,27.1,19,19.8,18,18.8,37,38.5,2525
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,7,ELA,92,91,98.9,91,15,16.5,30,33,31,34.1,15,16.5,46,50.5,2559
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,7,Math,92,91,98.9,91,27,29.7,27,29.7,20,22,17,18.7,37,40.7,2536
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,8,ELA,87,87,100,87,12,13.8,19,21.8,34,39.1,22,25.3,56,64.4,2601
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,8,Math,87,87,100,87,33,37.9,24,27.6,12,13.8,18,20.7,30,34.5,2549
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,3,ELA,82,82,100,82,7,8.5,22,26.8,20,24.4,33,40.2,53,64.6,2467
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,3,Math,82,82,100,82,*,*,*,*,31,37.8,31,37.8,62,75.6,2482
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,4,ELA,91,91,100,91,14,15.4,20,22,26,28.6,31,34.1,57,62.6,2495
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,4,Math,91,91,100,91,*,*,32,35.2,28,30.8,*,*,*,*,2490
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,5,ELA,100,100,100,100,28,28,16,16,33,33,23,23,56,56,2506
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,5,Math,100,100,100,100,26,26,22,22,32,32,20,20,52,52,2510
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,6,ELA,110,110,100,110,18,16.4,32,29.1,40,36.4,20,18.2,60,54.5,2540
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,6,Math,110,110,100,110,23,20.9,33,30,32,29.1,22,20,54,49.1,2531
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,7,ELA,107,106,99.1,106,26,24.5,20,18.9,38,35.8,22,20.8,60,56.6,2557
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,7,Math,107,105,98.1,105,32,30.5,21,20,24,22.9,28,26.7,52,49.5,2549
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,8,ELA,109,109,100,109,12,11,32,29.4,49,45,16,14.7,65,59.6,2580
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,8,Math,109,109,100,109,32,29.4,26,23.9,26,23.9,25,22.9,51,46.8,2567
Amistad Academy District,2790013,Amistad Academy,2795113,3,ELA,89,89,100,89,30,33.7,17,19.1,21,23.6,21,23.6,42,47.2,2419
Amistad Academy District,2790013,Amistad Academy,2795113,3,Math,89,89,100,89,32,36,19,21.3,17,19.1,21,23.6,38,42.7,2426
Amistad Academy District,2790013,Amistad Academy,2795113,4,ELA,86,86,100,86,18,20.9,12,14,26,30.2,30,34.9,56,65.1,2499
Amistad Academy District,2790013,Amistad Academy,2795113,4,Math,86,86,100,86,7,8.1,32,37.2,27,31.4,20,23.3,47,54.7,2494
Amistad Academy District,2790013,Amistad Academy,2795113,5,ELA,89,89,100,89,19,21.3,21,23.6,27,30.3,22,24.7,49,55.1,2515
Amistad Academy District,2790013,Amistad Academy,2795113,5,Math,89,89,100,89,22,24.7,27,30.3,22,24.7,18,20.2,40,44.9,2512
Amistad Academy District,2790013,Amistad Academy,2795113,6,ELA,86,86,100,86,20,23.3,22,25.6,29,33.7,15,17.4,44,51.2,2530
Amistad Academy District,2790013,Amistad Academy,2795113,6,Math,86,86,100,86,16,18.6,29,33.7,21,24.4,20,23.3,41,47.7,2533
Amistad Academy District,2790013,Amistad Academy,2795113,7,ELA,89,87,97.8,87,15,17.2,22,25.3,31,35.6,19,21.8,50,57.5,2568
Amistad Academy District,2790013,Amistad Academy,2795113,7,Math,89,87,97.8,87,17,19.5,17,19.5,23,26.4,30,34.5,53,60.9,2583
Amistad Academy District,2790013,Amistad Academy,2795113,8,ELA,84,84,100,84,24,28.6,13,15.5,36,42.9,11,13.1,47,56,2559
Amistad Academy District,2790013,Amistad Academy,2795113,8,Math,84,83,98.8,82,26,31.7,18,22,17,20.7,21,25.6,38,46.3,2558
Andover School District,0010011,Andover Elementary School,0010111,3,ELA,22,22,100,22,*,*,*,*,*,*,14,63.6,*,*,2485
Andover School District,0010011,Andover Elementary School,0010111,3,Math,22,22,100,22,0,0,*,*,9,40.9,*,*,*,*,2477
Andover School District,0010011,Andover Elementary School,0010111,4,ELA,21,21,100,21,*,*,7,33.3,*,*,10,47.6,*,*,2512
Andover School District,0010011,Andover Elementary School,0010111,4,Math,21,21,100,21,0,0,10,47.6,*,*,*,*,11,52.4,2507
Andover School District,0010011,Andover Elementary School,0010111,5,ELA,28,28,100,28,*,*,*,*,6,21.4,14,50,20,71.4,2562
Andover School District,0010011,Andover Elementary School,0010111,5,Math,28,28,100,28,*,*,8,28.6,*,*,13,46.4,*,*,2572
Andover School District,0010011,Andover Elementary School,0010111,6,ELA,28,28,100,28,0,0,*,*,*,*,12,42.9,*,*,2604
Andover School District,0010011,Andover Elementary School,0010111,6,Math,28,28,100,28,0,0,*,*,*,*,12,42.9,*,*,2606
Ansonia School District,0020011,Ansonia Middle School,0025111,7,ELA,170,168,98.8,168,55,32.7,48,28.6,43,25.6,22,13.1,65,38.7,2529
Ansonia School District,0020011,Ansonia Middle School,0025111,7,Math,170,167,98.2,167,72,43.1,55,32.9,29,17.4,11,6.6,40,24,2502
Ansonia School District,0020011,Ansonia Middle School,0025111,8,ELA,170,168,98.8,168,66,39.3,39,23.2,53,31.5,10,6,63,37.5,2524
Ansonia School District,0020011,Ansonia Middle School,0025111,8,Math,170,167,98.2,167,90,53.9,43,25.7,26,15.6,8,4.8,34,20.4,2488
