District,District Code,School,School Code,Grade,Subject,Total Number of Students,Total Number Tested,Smarter Balanced Participation Rate,Total Number with Scored Tests,Count,%,Count,%,Count,%,Count,%,Count,%,Average VSS
Area Cooperative Educational Services,2440014,Mill Academy,2449414,8,ELA,29,28,96.6,28,22,78.6,*,*,*,*,*,*,*,*,2426
Area Cooperative Educational Services,2440014,Mill Academy,2449414,8,Math,29,26,89.7,26,*,*,0,0,*,*,0,0,*,*,2372
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,6,ELA,234,234,100,234,69,29.5,65,27.8,68,29.1,32,13.7,100,42.7,2512
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,6,Math,234,234,100,234,76,32.5,83,35.5,44,18.8,31,13.2,75,32.1,2508
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,7,ELA,230,230,100,229,63,27.5,62,27.1,76,33.2,28,12.2,104,45.4,2537
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,7,Math,230,230,100,229,85,37.1,61,26.6,49,21.4,34,14.8,83,36.2,2522
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,8,ELA,235,235,100,235,53,22.6,63,26.8,83,35.3,36,15.3,119,50.6,2567
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,8,Math,235,235,100,235,100,42.6,66,28.1,34,14.5,35,14.9,69,29.4,2526
Area Cooperative Educational Services,2440014,Village School,2449514,5,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Village School,2449514,5,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Whitney Academy,2449214,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Whitney Academy,2449214,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,3,ELA,73,73,100,73,17,23.3,19,26,21,28.8,16,21.9,37,50.7,2427
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,3,Math,73,73,100,73,13,17.8,26,35.6,21,28.8,13,17.8,34,46.6,2431
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,4,ELA,72,71,98.6,71,32,45.1,12,16.9,18,25.4,9,12.7,27,38,2430
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,4,Math,72,71,98.6,71,26,36.6,25,35.2,*,*,*,*,20,28.2,2429
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,5,ELA,69,69,100,69,31,44.9,13,18.8,16,23.2,9,13,25,36.2,2464
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,5,Math,69,69,100,69,42,60.9,18,26.1,*,*,*,*,9,13,2430
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,6,ELA,72,72,100,72,23,31.9,24,33.3,*,*,*,*,25,34.7,2503
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,6,Math,72,72,100,72,29,40.3,26,36.1,*,*,*,*,17,23.6,2488
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,7,ELA,52,52,100,52,*,*,19,36.5,22,42.3,*,*,*,*,2535
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,7,Math,52,52,100,52,23,44.2,20,38.5,*,*,*,*,9,17.3,2499
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,8,ELA,62,62,100,62,18,29,18,29,18,29,8,12.9,26,41.9,2552
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,8,Math,62,62,100,62,27,43.5,19,30.6,9,14.5,7,11.3,16,25.8,2529
Ashford School District,0030011,Ashford School,0030111,3,ELA,37,37,100,37,9,24.3,11,29.7,9,24.3,8,21.6,17,45.9,2424
Ashford School District,0030011,Ashford School,0030111,3,Math,37,37,100,37,7,18.9,11,29.7,12,32.4,7,18.9,19,51.4,2447
Ashford School District,0030011,Ashford School,0030111,4,ELA,42,41,97.6,41,9,22,9,22,8,19.5,15,36.6,23,56.1,2490
Ashford School District,0030011,Ashford School,0030111,4,Math,42,41,97.6,41,*,*,11,26.8,14,34.1,*,*,*,*,2474
Ashford School District,0030011,Ashford School,0030111,5,ELA,31,30,96.8,30,*,*,*,*,10,33.3,8,26.7,18,60,2526
Ashford School District,0030011,Ashford School,0030111,5,Math,31,30,96.8,30,13,43.3,*,*,7,23.3,*,*,*,*,2490
Ashford School District,0030011,Ashford School,0030111,6,ELA,39,38,97.4,38,*,*,*,*,13,34.2,12,31.6,25,65.8,2559
Ashford School District,0030011,Ashford School,0030111,6,Math,39,38,97.4,38,8,21.1,16,42.1,6,15.8,8,21.1,14,36.8,2524
Ashford School District,0030011,Ashford School,0030111,7,ELA,42,41,97.6,41,*,*,*,*,18,43.9,16,39,34,82.9,2613
Ashford School District,0030011,Ashford School,0030111,7,Math,42,41,97.6,41,6,14.6,12,29.3,15,36.6,8,19.5,23,56.1,2573
Ashford School District,0030011,Ashford School,0030111,8,ELA,45,43,95.6,43,7,16.3,10,23.3,18,41.9,8,18.6,26,60.5,2579
Ashford School District,0030011,Ashford School,0030111,8,Math,45,43,95.6,43,13,30.2,14,32.6,9,20.9,7,16.3,16,37.2,2553
Avon School District,0040011,Avon Middle School,0045111,7,ELA,274,273,99.6,273,22,8.1,38,13.9,96,35.2,117,42.9,213,78,2619
Avon School District,0040011,Avon Middle School,0045111,7,Math,274,273,99.6,273,23,8.4,41,15,69,25.3,140,51.3,209,76.6,2625
Avon School District,0040011,Avon Middle School,0045111,8,ELA,272,272,100,272,8,2.9,30,11,109,40.1,125,46,234,86,2652
Avon School District,0040011,Avon Middle School,0045111,8,Math,272,272,100,272,16,5.9,30,11,63,23.2,163,59.9,226,83.1,2671
Avon School District,0040011,Pine Grove School,0040411,3,ELA,151,151,100,151,15,9.9,23,15.2,39,25.8,74,49,113,74.8,2483
Avon School District,0040011,Pine Grove School,0040411,3,Math,151,151,100,151,18,11.9,22,14.6,50,33.1,61,40.4,111,73.5,2478
Avon School District,0040011,Pine Grove School,0040411,4,ELA,125,125,100,125,15,12,18,14.4,32,25.6,60,48,92,73.6,2525
Avon School District,0040011,Pine Grove School,0040411,4,Math,125,125,100,125,9,7.2,27,21.6,42,33.6,47,37.6,89,71.2,2524
Avon School District,0040011,Roaring Brook School,0040311,3,ELA,107,107,100,107,*,*,*,*,25,23.4,65,60.7,90,84.1,2503
Avon School District,0040011,Roaring Brook School,0040311,3,Math,107,107,100,107,*,*,*,*,30,28,64,59.8,94,87.9,2505
Avon School District,0040011,Roaring Brook School,0040311,4,ELA,104,103,99,103,*,*,*,*,21,20.4,60,58.3,81,78.6,2544
Avon School District,0040011,Roaring Brook School,0040311,4,Math,104,103,99,103,*,*,*,*,23,22.3,52,50.5,75,72.8,2538
Avon School District,0040011,Thompson Brook School,0040511,5,ELA,264,264,100,264,19,7.2,39,14.8,81,30.7,125,47.3,206,78,2568
Avon School District,0040011,Thompson Brook School,0040511,5,Math,264,264,100,264,39,14.8,61,23.1,58,22,106,40.2,164,62.1,2548
Avon School District,0040011,Thompson Brook School,0040511,6,ELA,228,228,100,228,13,5.7,22,9.6,82,36,111,48.7,193,84.6,2607
Avon School District,0040011,Thompson Brook School,0040511,6,Math,228,228,100,228,20,8.8,28,12.3,64,28.1,116,50.9,180,78.9,2605
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,3,ELA,31,28,90.3,28,*,*,*,*,13,46.4,7,25,20,71.4,2451
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,3,Math,31,28,90.3,28,*,*,*,*,11,39.3,8,28.6,19,67.9,2457
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,4,ELA,32,32,100,32,*,*,10,31.3,*,*,9,28.1,*,*,2494
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,4,Math,32,32,100,32,*,*,16,50,*,*,7,21.9,*,*,2489
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,5,ELA,40,38,95,38,*,*,*,*,14,36.8,13,34.2,27,71.1,2539
